Dia,"Nome da campanha","Nome do conjunto de anúncios","Nome do anúncio","Nome da Página","Status de veiculação","Nível de veiculação",Alcance,Impressões,Frequência,"Configuração de atribuição","Tipo de resultado",Resultados,"Valor usado (BRL)","Custo por resultado",Início,Término,"Cliques no link","CPM (custo por 1.000 impressões)","Início dos relatórios","Encerramento dos relatórios"
2026-03-31,JV/PM/ABO/ENGAJAMENTO/25.03,"B — Cópia",B,"Casa & Cia Centro",not_delivering,ad,97,103,1.06185567,"Clique de 7 dias ou visualização de 1 dia",,,3.27,,2026-03-31,Contínuo,,31.74757282,2026-03-31,2026-03-31
2026-03-31,"PM | ABO | ENGAJ | TEST.PUB | 30.03",VIAJANTES,B,"Casa & Cia Centro",not_delivering,ad,607,733,1.20757825,"Clique de 7 dias ou visualização de 1 dia",,,11.69,,2026-03-30,Contínuo,1,15.94815825,2026-03-31,2026-03-31
2026-03-31,JV/PM/ABO/ENGAJAMENTO/25.03,C,C,"Casa & Cia Centro",not_delivering,ad,353,394,1.11614731,"Clique de 7 dias ou visualização de 1 dia",,,4.85,,2026-03-25,Contínuo,3,12.30964467,2026-03-31,2026-03-31
2026-03-31,"6X AV EM TODA LOJA - CENTRO Campanha","6X AV EM TODA LOJA - CENTRO Conjunto de anúncios","6X AV EM TODA LOJA - CENTRO","Casa & Cia Centro",not_delivering,ad,6316,7026,1.11241292,"Clique de 7 dias ou visualização de 1 dia","Cliques no link",155,31.84,0.20541935,2026-03-24,2026-03-31,155,4.53173925,2026-03-31,2026-03-31
2026-03-31,"6X AV EM TODA LOJA - PREMIUM","6X AV EM TODA LOJA - PREMIUM","6X AV EM TODA LOJA - PREMIUM","Casa e Cia",not_delivering,ad,26784,27709,1.03453554,"Clique de 7 dias ou visualização de 1 dia",Alcance,26784,33.09,1.23543907,2026-03-25,2026-03-31,6,1.19419683,2026-03-31,2026-03-31
2026-03-31,"VISITAS AO PERFIL - 06/03 - HA - 25,00 - FASE 1",ABERTO,A3,"Casa & Cia Centro",not_delivering,ad,850,895,1.05294118,"Clique de 1 dia","Visitas ao perfil do Instagram",11,6.21,0.56454545,2026-03-06,Contínuo,8,6.93854749,2026-03-31,2026-03-31
2026-03-31,"VISITAS AO PERFIL - 06/03 - HA - 25,00 - FASE 1","ABERTO — Cópia",A3,"Casa & Cia Centro",not_delivering,ad,636,669,1.05188679,"Clique de 1 dia","Visitas ao perfil do Instagram",12,6.23,0.51916667,2026-03-26,Contínuo,13,9.31240658,2026-03-31,2026-03-31
2026-03-31,"VISITAS AO PERFIL - 06/03 - HA - 25,00 - FASE 1","ABERTO — Cópia",A3,"Casa & Cia Centro",not_delivering,ad,551,555,1.00725953,"Clique de 1 dia","Visitas ao perfil do Instagram",9,4.65,0.51666667,2026-03-26,Contínuo,8,8.37837838,2026-03-31,2026-03-31
2026-03-31,JV/PM/ABO/ENGAJAMENTO/25.03,B,B,"Casa & Cia Centro",not_delivering,ad,907,1117,1.23153252,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",3,18.54,6.18,2026-03-25,Contínuo,2,16.59803044,2026-03-31,2026-03-31
2026-03-30,"VISITAS AO PERFIL - 06/03 - HA - 25,00 - FASE 1",ABERTO,A3,"Casa & Cia Centro",not_delivering,ad,826,859,1.03995157,"Clique de 1 dia","Visitas ao perfil do Instagram",13,5.44,0.41846154,2026-03-06,Contínuo,8,6.33294529,2026-03-30,2026-03-30
2026-03-30,JV/PM/ABO/ENGAJAMENTO/25.03,B,B,"Casa & Cia Centro",not_delivering,ad,1200,1476,1.23,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",2,11.52,5.76,2026-03-25,Contínuo,5,7.80487805,2026-03-30,2026-03-30
2026-03-30,"VISITAS AO PERFIL - 06/03 - HA - 25,00 - FASE 1","ABERTO — Cópia",A3,"Casa & Cia Centro",not_delivering,ad,681,709,1.04111601,"Clique de 1 dia","Visitas ao perfil do Instagram",14,4.4,0.31428571,2026-03-26,Contínuo,9,6.20592384,2026-03-30,2026-03-30
2026-03-30,"VISITAS AO PERFIL - 06/03 - HA - 25,00 - FASE 1","ABERTO — Cópia",A3,"Casa & Cia Centro",not_delivering,ad,1126,1182,1.04973357,"Clique de 1 dia","Visitas ao perfil do Instagram",24,7.86,0.3275,2026-03-26,Contínuo,23,6.64974619,2026-03-30,2026-03-30
2026-03-30,"PM | ABO | ENGAJ | TEST.PUB | 30.03",VIAJANTES,B,"Casa & Cia Centro",not_delivering,ad,1290,1459,1.13100775,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",2,10.3,5.15,2026-03-30,Contínuo,5,7.05962988,2026-03-30,2026-03-30
2026-03-30,"6X AV EM TODA LOJA - PREMIUM","6X AV EM TODA LOJA - PREMIUM","6X AV EM TODA LOJA - PREMIUM","Casa e Cia",not_delivering,ad,41422,43893,1.05965429,"Clique de 7 dias ou visualização de 1 dia",Alcance,41422,49.84,1.20322534,2026-03-25,2026-03-31,4,1.13548857,2026-03-30,2026-03-30
2026-03-30,"6X AV EM TODA LOJA - CENTRO Campanha","6X AV EM TODA LOJA - CENTRO Conjunto de anúncios","6X AV EM TODA LOJA - CENTRO","Casa & Cia Centro",not_delivering,ad,10790,12812,1.18739574,"Clique de 7 dias ou visualização de 1 dia","Cliques no link",234,50.83,0.21722222,2026-03-24,2026-03-31,234,3.96737434,2026-03-30,2026-03-30
2026-03-30,JV/PM/ABO/ENGAJAMENTO/25.03,C,C,"Casa & Cia Centro",not_delivering,ad,429,542,1.26340326,"Clique de 7 dias ou visualização de 1 dia",,,6.93,,2026-03-25,Contínuo,2,12.78597786,2026-03-30,2026-03-30
2026-03-29,"VISITAS AO PERFIL - 06/03 - HA - 25,00 - FASE 1","ABERTO — Cópia",A3,"Casa & Cia Centro",not_delivering,ad,1478,1498,1.0135318,"Clique de 1 dia","Visitas ao perfil do Instagram",36,13,0.36111111,2026-03-26,Contínuo,37,8.67823765,2026-03-29,2026-03-29
2026-03-29,JV/PM/ABO/ENGAJAMENTO/25.03,B,B,"Casa & Cia Centro",not_delivering,ad,1039,1207,1.16169394,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",1,11.62,11.62,2026-03-25,Contínuo,8,9.62717481,2026-03-29,2026-03-29
2026-03-29,"VISITAS AO PERFIL - 06/03 - HA - 25,00 - FASE 1","ABERTO — Cópia",A3,"Casa & Cia Centro",not_delivering,ad,953,974,1.02203568,"Clique de 1 dia","Visitas ao perfil do Instagram",23,7.99,0.3473913,2026-03-26,Contínuo,24,8.20328542,2026-03-29,2026-03-29
2026-03-29,"6X AV EM TODA LOJA - CENTRO Campanha","6X AV EM TODA LOJA - CENTRO Conjunto de anúncios","6X AV EM TODA LOJA - CENTRO","Casa & Cia Centro",not_delivering,ad,11222,13413,1.19524149,"Clique de 7 dias ou visualização de 1 dia","Cliques no link",226,56.45,0.24977876,2026-03-24,2026-03-31,226,4.20860359,2026-03-29,2026-03-29
2026-03-29,"VISITAS AO PERFIL - 06/03 - HA - 25,00 - FASE 1",ABERTO,A3,"Casa & Cia Centro",not_delivering,ad,529,536,1.01323251,"Clique de 1 dia","Visitas ao perfil do Instagram",12,3.77,0.31416667,2026-03-06,Contínuo,10,7.03358209,2026-03-29,2026-03-29
2026-03-29,"6X AV EM TODA LOJA - PREMIUM","6X AV EM TODA LOJA - PREMIUM","6X AV EM TODA LOJA - PREMIUM","Casa e Cia",not_delivering,ad,47645,49032,1.02911113,"Clique de 7 dias ou visualização de 1 dia",Alcance,47645,56.63,1.18858222,2026-03-25,2026-03-31,2,1.15496003,2026-03-29,2026-03-29
2026-03-29,JV/PM/ABO/ENGAJAMENTO/25.03,C,C,"Casa & Cia Centro",not_delivering,ad,646,777,1.20278638,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",1,8.84,8.84,2026-03-25,Contínuo,6,11.37709138,2026-03-29,2026-03-29
2026-03-28,JV/PM/ABO/ENGAJAMENTO/25.03,B,B,"Casa & Cia Centro",not_delivering,ad,584,727,1.24486301,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",1,7.5,7.5,2026-03-25,Contínuo,1,10.31636864,2026-03-28,2026-03-28
2026-03-28,"VISITAS AO PERFIL - 06/03 - HA - 25,00 - FASE 1","ABERTO — Cópia",A3,"Casa & Cia Centro",not_delivering,ad,956,993,1.03870293,"Clique de 1 dia","Visitas ao perfil do Instagram",20,7.82,0.391,2026-03-26,Contínuo,19,7.87512588,2026-03-28,2026-03-28
2026-03-28,"VISITAS AO PERFIL - 06/03 - HA - 25,00 - FASE 1","ABERTO — Cópia",A3,"Casa & Cia Centro",not_delivering,ad,1766,1766,1,"Clique de 1 dia","Visitas ao perfil do Instagram",34,14.73,0.43323529,2026-03-26,Contínuo,33,8.34088335,2026-03-28,2026-03-28
2026-03-28,"VISITAS AO PERFIL - 06/03 - HA - 25,00 - FASE 1",ABERTO,A3,"Casa & Cia Centro",not_delivering,ad,449,449,1,"Clique de 1 dia","Visitas ao perfil do Instagram",12,4.06,0.33833333,2026-03-06,Contínuo,12,9.04231626,2026-03-28,2026-03-28
2026-03-28,"6X AV EM TODA LOJA - PREMIUM","6X AV EM TODA LOJA - PREMIUM","6X AV EM TODA LOJA - PREMIUM","Casa e Cia",not_delivering,ad,36153,38232,1.0575056,"Clique de 7 dias ou visualização de 1 dia",Alcance,36153,46.56,1.28785993,2026-03-25,2026-03-31,4,1.217828,2026-03-28,2026-03-28
2026-03-28,"6X AV EM TODA LOJA - CENTRO Campanha","6X AV EM TODA LOJA - CENTRO Conjunto de anúncios","6X AV EM TODA LOJA - CENTRO","Casa & Cia Centro",not_delivering,ad,8850,10675,1.20621469,"Clique de 7 dias ou visualização de 1 dia","Cliques no link",174,44.77,0.25729885,2026-03-24,2026-03-31,174,4.19391101,2026-03-28,2026-03-28
2026-03-28,JV/PM/ABO/ENGAJAMENTO/25.03,C,C,"Casa & Cia Centro",not_delivering,ad,301,363,1.20598007,"Clique de 7 dias ou visualização de 1 dia",,,4.74,,2026-03-25,Contínuo,1,13.05785124,2026-03-28,2026-03-28
2026-03-28,"VISITAS AO PERFIL - 06/03 - HA - 25,00 - FASE 1","ABERTO — Cópia",A2,"Casa & Cia Centro",not_delivering,ad,2,2,1,"Clique de 1 dia",,,0.02,,2026-03-26,Contínuo,,10,2026-03-28,2026-03-28
2026-03-28,"VISITAS AO PERFIL - 06/03 - HA - 25,00 - FASE 1",ABERTO,A2,"Casa & Cia Centro",not_delivering,ad,8,8,1,"Clique de 1 dia",,,0.06,,2026-03-06,Contínuo,,7.5,2026-03-28,2026-03-28
2026-03-27,"6X AV EM TODA LOJA - CENTRO Campanha","6X AV EM TODA LOJA - CENTRO Conjunto de anúncios","6X AV EM TODA LOJA - CENTRO","Casa & Cia Centro",not_delivering,ad,7762,9418,1.21334708,"Clique de 7 dias ou visualização de 1 dia","Cliques no link",177,44.64,0.25220339,2026-03-24,2026-03-31,177,4.73985984,2026-03-27,2026-03-27
2026-03-27,JV/PM/ABO/ENGAJAMENTO/25.03,B,B,"Casa & Cia Centro",not_delivering,ad,1537,1986,1.29212752,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",1,16.89,16.89,2026-03-25,Contínuo,6,8.50453172,2026-03-27,2026-03-27
2026-03-27,"VISITAS AO PERFIL - 06/03 - HA - 25,00 - FASE 1","ABERTO — Cópia",A3,"Casa & Cia Centro",not_delivering,ad,778,818,1.05141388,"Clique de 1 dia","Visitas ao perfil do Instagram",20,7.43,0.3715,2026-03-26,Contínuo,19,9.08312958,2026-03-27,2026-03-27
2026-03-27,"VISITAS AO PERFIL - 06/03 - HA - 25,00 - FASE 1",ABERTO,A3,"Casa & Cia Centro",not_delivering,ad,440,450,1.02272727,"Clique de 1 dia","Visitas ao perfil do Instagram",7,4.76,0.68,2026-03-06,Contínuo,8,10.57777778,2026-03-27,2026-03-27
2026-03-27,"6X AV EM TODA LOJA - PREMIUM","6X AV EM TODA LOJA - PREMIUM","6X AV EM TODA LOJA - PREMIUM","Casa e Cia",not_delivering,ad,34698,36942,1.06467232,"Clique de 7 dias ou visualização de 1 dia",Alcance,34698,46.2,1.33148885,2026-03-25,2026-03-31,5,1.25060906,2026-03-27,2026-03-27
2026-03-27,"VISITAS AO PERFIL - 06/03 - HA - 25,00 - FASE 1","ABERTO — Cópia",A3,"Casa & Cia Centro",not_delivering,ad,530,547,1.03207547,"Clique de 1 dia","Visitas ao perfil do Instagram",15,5.8,0.38666667,2026-03-26,Contínuo,13,10.60329068,2026-03-27,2026-03-27
2026-03-27,JV/PM/ABO/ENGAJAMENTO/25.03,C,C,"Casa & Cia Centro",not_delivering,ad,726,890,1.22589532,"Clique de 7 dias ou visualização de 1 dia",,,13.35,,2026-03-25,Contínuo,4,15,2026-03-27,2026-03-27
2026-03-27,JV/PM/ABO/ENGAJAMENTO/25.03,D,D,"Casa & Cia Centro",not_delivering,ad,150,160,1.06666667,"Clique de 7 dias ou visualização de 1 dia",,,1.58,,2026-03-25,Contínuo,1,9.875,2026-03-27,2026-03-27
2026-03-27,"VISITAS AO PERFIL - 06/03 - HA - 25,00 - FASE 1","ABERTO — Cópia",A2,"Casa & Cia Centro",not_delivering,ad,21,21,1,"Clique de 1 dia",,,0.54,,2026-03-26,Contínuo,,25.71428571,2026-03-27,2026-03-27
2026-03-27,JV/PM/ABO/ENGAJAMENTO/25.03,"Novo conjunto de anúncios de Engajamento",A,"Casa & Cia Centro",not_delivering,ad,109,114,1.04587156,"Clique de 7 dias ou visualização de 1 dia",,,2.26,,2026-03-25,Contínuo,,19.8245614,2026-03-27,2026-03-27
2026-03-27,"VISITAS AO PERFIL - 06/03 - HA - 25,00 - FASE 1","ABERTO — Cópia",A2,"Casa & Cia Centro",not_delivering,ad,11,12,1.09090909,"Clique de 1 dia",,,1.25,,2026-03-26,Contínuo,,104.16666667,2026-03-27,2026-03-27
2026-03-26,"6X AV EM TODA LOJA - PREMIUM","6X AV EM TODA LOJA - PREMIUM","6X AV EM TODA LOJA - PREMIUM","Casa e Cia",not_delivering,ad,35822,37745,1.05368209,"Clique de 7 dias ou visualização de 1 dia",Alcance,35822,45.06,1.25788622,2026-03-25,2026-03-31,2,1.1938005,2026-03-26,2026-03-26
2026-03-26,"6X AV EM TODA LOJA - CENTRO Campanha","6X AV EM TODA LOJA - CENTRO Conjunto de anúncios","6X AV EM TODA LOJA - CENTRO","Casa & Cia Centro",not_delivering,ad,6587,8135,1.23500835,"Clique de 7 dias ou visualização de 1 dia","Cliques no link",157,37.59,0.23942675,2026-03-24,2026-03-31,157,4.62077443,2026-03-26,2026-03-26
2026-03-26,JV/PM/ABO/ENGAJAMENTO/25.03,B,B,"Casa & Cia Centro",not_delivering,ad,713,881,1.23562412,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",3,12.22,4.07333333,2026-03-25,Contínuo,7,13.87060159,2026-03-26,2026-03-26
