Informações do leilão - pesquisa
1 de maio de 2026 - 28 de julho de 2026
Dia,Domínio do URL de visualização,Parcela de impressões da pesquisa (Informações do leilão),Taxa de sobreposição da pesquisa,Taxa de posição superior,Taxa da parte superior da página,Taxa da 1ª posição na página,Parcela de superação da pesquisa
2026-06-19,Você,"15,38%", --, --,"83,33%","66,67%", --
2026-06-20,Você,"71,81%", --, --,"84,44%","53,33%", --
2026-06-21,Você,"24,07%", --, --,"71,43%","29,67%", --
2026-06-22,Você,< 10%, --, --,"68,08%","30,77%", --
2026-06-23,Você,"11,70%", --, --,"63,33%","35,70%", --
2026-06-24,Você,< 10%, --, --,"62,00%","27,14%", --
2026-06-25,Você,"12,27%", --, --,"61,06%","27,10%", --
2026-06-26,Você,"14,29%", --, --,"62,46%","31,48%", --
2026-06-27,Você,"16,49%", --, --,"60,49%","28,78%", --
2026-06-28,Você,"20,93%", --, --,"64,00%","28,57%", --
2026-06-19,abamais.com,< 10%,"16,67%","0,00%","100,00%","0,00%","15,38%"
2026-06-19,abanotes.com.br,"15,38%","33,33%","0,00%","100,00%","0,00%","15,38%"
2026-06-20,agendart.com.br,"15,96%","18,52%","36,00%","83,33%","10,00%","67,02%"
2026-06-21,agendart.com.br,< 10%,"8,79%","37,50%","88,89%","19,44%","23,28%"
2026-06-28,agendart.com.br,< 10%,"6,29%","54,55%","91,53%","28,81%","20,22%"
2026-06-19,amplimed.com.br,"15,38%","16,67%","0,00%","50,00%","0,00%","15,38%"
2026-06-20,amplimed.com.br,"16,49%","15,56%","23,81%","83,87%","9,68%","69,15%"
2026-06-21,amplimed.com.br,"11,64%","13,19%","41,67%","72,73%","4,55%","22,75%"
2026-06-27,amplimed.com.br,< 10%,"4,63%","42,11%","84,67%","23,36%","16,16%"
2026-06-28,amplimed.com.br,< 10%,"10,29%","61,11%","88,75%","23,75%","19,62%"
2026-06-19,asasaude.com.br,< 10%,"16,67%","0,00%","100,00%","0,00%","15,38%"
2026-06-21,atenclin.com.br,< 10%,"7,69%","0,00%","8,70%","0,00%","24,07%"
2026-06-24,atenclin.com.br,< 10%,"13,43%","8,51%","11,56%","0,00%","8,66%"
2026-06-25,atenclin.com.br,< 10%,"12,15%","25,64%","11,09%","4,39%","11,89%"
2026-06-26,atenclin.com.br,< 10%,"8,69%","28,30%","7,73%","3,64%","13,94%"
2026-06-21,ceapsi.com.br,< 10%,"4,40%","25,00%","90,00%","10,00%","23,81%"
2026-06-20,clinicaexperts.com.br,"14,89%","8,89%","8,33%","75,00%","0,00%","71,28%"
2026-06-21,clinicaexperts.com.br,< 10%,"5,49%","60,00%","74,19%","22,58%","23,28%"
2026-06-22,clinicaexperts.com.br,< 10%,"3,85%","30,00%","75,78%","41,61%","8,99%"
2026-06-23,clinicaexperts.com.br,< 10%,"4,40%","55,56%","79,09%","40,91%","11,41%"
2026-06-27,clinicaexperts.com.br,< 10%,"7,07%","65,52%","81,08%","37,84%","15,72%"
2026-06-28,clinicaexperts.com.br,"11,24%","9,71%","47,06%","87,23%","36,17%","19,98%"
2026-06-20,clinicanasnuvens.com.br,< 10%,"5,93%","50,00%","80,00%","10,00%","69,68%"
2026-06-19,communicare.com.br,< 10%,"16,67%","0,00%","0,00%","0,00%","15,38%"
2026-06-20,doctoralia.com.br,< 10%,"6,67%","55,56%","100,00%","36,36%","69,15%"
2026-06-25,doctoralia.com.br,< 10%,"10,90%","68,57%","52,46%","23,61%","11,35%"
2026-06-28,doctoralia.com.br,"11,72%","13,71%","70,83%","67,35%","25,51%","18,90%"
2026-06-20,esaas.site,< 10%,"5,93%","12,50%","54,55%","9,09%","71,28%"
2026-06-20,fabraclinic.com.br,< 10%,"9,63%","23,08%","53,33%","0,00%","70,21%"
2026-06-20,feegowclinic.com.br,< 10%,"5,93%","12,50%","85,71%","21,43%","71,28%"
2026-06-20,gestaopsico.com.br,< 10%,"6,67%","0,00%","53,85%","0,00%","71,81%"
2026-06-21,gestaopsico.com.br,< 10%,"4,40%","50,00%","67,74%","9,68%","23,54%"
2026-06-22,hidoctor.com.br,< 10%,"7,31%","89,47%","77,40%","52,74%","8,50%"
2026-06-26,hidoctor.com.br,< 10%,"6,72%","51,22%","67,13%","32,41%","13,80%"
2026-06-19,iclinic.com.br,"30,77%","50,00%","33,33%","100,00%","50,00%","12,82%"
2026-06-20,iclinic.com.br,"44,15%","39,26%","60,38%","93,98%","56,63%","54,79%"
2026-06-21,iclinic.com.br,"35,19%","30,77%","78,57%","87,97%","57,89%","18,25%"
2026-06-22,iclinic.com.br,< 10%,"11,54%","43,33%","77,30%","50,00%","8,64%"
2026-06-23,iclinic.com.br,"10,81%","11,25%","65,22%","75,40%","46,83%","10,84%"
2026-06-24,iclinic.com.br,< 10%,"9,71%","67,65%","77,75%","49,87%","8,18%"
2026-06-25,iclinic.com.br,"11,70%","9,97%","76,56%","74,18%","45,59%","11,33%"
2026-06-26,iclinic.com.br,"11,95%","12,30%","64,00%","76,86%","46,67%","13,17%"
2026-06-27,iclinic.com.br,"20,75%","23,17%","67,37%","77,52%","43,22%","13,91%"
2026-06-28,iclinic.com.br,"25,96%","22,29%","58,97%","78,34%","44,24%","18,18%"
2026-06-21,iog360.com.br,< 10%,"7,69%","100,00%","87,50%","50,00%","22,22%"
2026-06-28,iog360.com.br,< 10%,"5,14%","100,00%","74,47%","46,81%","19,86%"
2026-06-19,kalendme.com,< 10%,"16,67%","0,00%","100,00%","0,00%","15,38%"
2026-06-20,mysmartclinic.com.br,< 10%,"6,67%","33,33%","64,29%","0,00%","70,21%"
2026-06-21,mysmartclinic.com.br,< 10%,"5,49%","60,00%","58,33%","8,33%","23,28%"
2026-06-27,mysmartclinic.com.br,< 10%,"4,63%","52,63%","85,04%","16,54%","16,08%"
2026-06-19,omie.com.br,< 10%,"0,00%", --,"0,00%","0,00%","15,38%"
2026-06-22,onlineclinic.com.br,< 10%,"6,92%","50,00%","57,61%","18,48%","8,78%"
2026-06-23,onlineclinic.com.br,< 10%,"12,71%","32,69%","51,49%","12,87%","11,21%"
2026-06-19,onmed.com.br,< 10%,"0,00%", --,"100,00%","0,00%","15,38%"
2026-06-20,psicomanager.com.br,"10,64%","12,59%","47,06%","90,00%","25,00%","67,55%"
2026-06-21,psicomanager.com.br,< 10%,"6,59%","66,67%","84,85%","9,09%","23,02%"
2026-06-20,psiluz.com.br,"10,11%","11,85%","25,00%","89,47%","5,26%","69,68%"
2026-06-21,psiluz.com.br,< 10%,"8,79%","25,00%","90,00%","23,33%","23,54%"
2026-06-19,simplesagenda.com.br,< 10%,"16,67%","0,00%","100,00%","0,00%","15,38%"
2026-06-20,stenci.com.br,< 10%,"5,93%","12,50%","53,33%","13,33%","71,28%"
2026-06-21,stenci.com.br,< 10%,"5,49%","20,00%","72,73%","18,18%","23,81%"
2026-06-21,theraclin.com.br,< 10%,"9,89%","22,22%","21,05%","0,00%","23,54%"
2026-06-21,usecorpora.com.br,"13,76%","13,19%","50,00%","88,46%","38,46%","22,49%"
