Palavra-chave de pesquisa
1 de maio de 2026 - 28 de julho de 2026
Dia,Pesquisar palavra-chave,Status da palavra-chave da rede de pesquisa,Motivos do status da palavra-chave da rede de pesquisa,Pesquisar tipo de correspondência de palavra-chave,Campanha,Grupo de anúncios,Código da moeda,CPC máx. da palavra-chave,Cliques,Impr.,CTR,CPC méd.,Custo,% de impr. (1ª posição),% de impr. (parte sup.),Conversões,Conv. de visualização,Custo / conv.,Taxa de conv.
2026-06-25,software para terapeutas,Qualificado, --,Correspondência ampla,[V4][SEARCH][CLINICA ABA],Grupo de anúncios 1,BRL,"0,01",16,554,"2,89%","2,80","44,87","26,55%","61,82%","1,00",0,"44,87","6,25%"
2026-06-26,software para terapeutas,Qualificado, --,Correspondência ampla,[V4][SEARCH][CLINICA ABA],Grupo de anúncios 1,BRL,"0,01",15,553,"2,71%","2,64","39,67","30,78%","62,84%","0,00",0,0,"0,00%"
2026-06-22,software para terapeutas,Qualificado, --,Correspondência ampla,[V4][SEARCH][CLINICA ABA],Grupo de anúncios 1,BRL,"0,01",11,231,"4,76%","3,81","41,92","27,88%","68,58%","0,00",0,0,"0,00%"
2026-06-24,software para terapeutas,Qualificado, --,Correspondência ampla,[V4][SEARCH][CLINICA ABA],Grupo de anúncios 1,BRL,"0,01",11,307,"3,58%","3,30","36,33","25,57%","59,34%","0,00",0,0,"0,00%"
2026-06-23,software para terapeutas,Qualificado, --,Correspondência ampla,[V4][SEARCH][CLINICA ABA],Grupo de anúncios 1,BRL,"0,01",10,366,"2,73%","4,68","46,83","34,79%","64,11%","0,00",0,0,"0,00%"
2026-06-27,software para terapeutas,Qualificado, --,Correspondência ampla,[V4][SEARCH][CLINICA ABA],Grupo de anúncios 1,BRL,"0,01",9,398,"2,26%","4,17","37,57","28,24%","60,88%","0,00",0,0,"0,00%"
2026-06-28,software para terapeutas,Qualificado, --,Correspondência ampla,[V4][SEARCH][CLINICA ABA],Grupo de anúncios 1,BRL,"0,01",8,169,"4,73%","3,27","26,12","28,40%","62,96%","0,00",0,0,"0,00%"
2026-06-20,software para terapeutas,Qualificado, --,Correspondência ampla,[V4][SEARCH][CLINICA ABA],Grupo de anúncios 1,BRL,"0,01",6,197,"3,05%","14,09","84,52","52,31%","83,85%","0,00",0,0,"0,00%"
2026-06-21,software para terapeutas,Qualificado, --,Correspondência ampla,[V4][SEARCH][CLINICA ABA],Grupo de anúncios 1,BRL,"0,01",6,87,"6,90%","8,66","51,96","27,50%","71,25%","0,00",0,0,"0,00%"
2026-06-28,software para clínicas aba,Qualificado, --,Correspondência ampla,[V4][SEARCH][CLINICA ABA],Grupo de anúncios 1,BRL,"0,01",4,13,"30,77%","3,67","14,68","30,77%","76,92%","0,00",0,0,"0,00%"
2026-06-22,software para clínicas aba,Qualificado, --,Correspondência ampla,[V4][SEARCH][CLINICA ABA],Grupo de anúncios 1,BRL,"0,01",3,34,"8,82%","3,96","11,88","50,00%","64,71%","0,00",0,0,"0,00%"
2026-06-24,software para clínicas aba,Qualificado, --,Correspondência ampla,[V4][SEARCH][CLINICA ABA],Grupo de anúncios 1,BRL,"0,01",3,45,"6,67%","3,06","9,17","37,78%","80,00%","0,00",0,0,"0,00%"
2026-06-26,software para clínicas aba,Qualificado, --,Correspondência ampla,[V4][SEARCH][CLINICA ABA],Grupo de anúncios 1,BRL,"0,01",3,62,"4,84%","2,61","7,82","37,70%","59,02%","0,00",0,0,"0,00%"
2026-06-27,software para clínicas aba,Qualificado, --,Correspondência ampla,[V4][SEARCH][CLINICA ABA],Grupo de anúncios 1,BRL,"0,01",3,24,"12,50%","3,55","10,66","39,13%","52,17%","0,00",0,0,"0,00%"
2026-06-21,software para clínicas aba,Qualificado, --,Correspondência ampla,[V4][SEARCH][CLINICA ABA],Grupo de anúncios 1,BRL,"0,01",2,11,"18,18%","4,95","9,90","45,45%","72,73%","0,00",0,0,"0,00%"
2026-06-23,software para clínicas aba,Qualificado, --,Correspondência ampla,[V4][SEARCH][CLINICA ABA],Grupo de anúncios 1,BRL,"0,01",2,44,"4,55%","3,89","7,77","43,18%","56,82%","0,00",0,0,"0,00%"
2026-06-20,software para clínicas aba,Qualificado, --,Correspondência ampla,[V4][SEARCH][CLINICA ABA],Grupo de anúncios 1,BRL,"0,01",1,10,"10,00%","15,25","15,25","80,00%","100,00%","1,00",0,"15,25","100,00%"
2026-06-25,software para clínicas aba,Qualificado, --,Correspondência ampla,[V4][SEARCH][CLINICA ABA],Grupo de anúncios 1,BRL,"0,01",1,91,"1,10%","3,06","3,06","30,77%","56,04%","0,00",0,0,"0,00%"
2026-06-19,software para terapeutas,Qualificado, --,Correspondência ampla,[V4][SEARCH][CLINICA ABA],Grupo de anúncios 1,BRL,"0,01",0,6,"0,00%",0,"0,00","66,67%","100,00%","0,00",0,0,0
2026-06-19,software para clínicas aba,Qualificado, --,Correspondência ampla,[V4][SEARCH][CLINICA ABA],Grupo de anúncios 1,BRL,"0,01",0,5,"0,00%",0,"0,00","66,67%","66,67%","0,00",0,0,0
