STD Report
1 de maio de 2026 - 28 de julho de 2026
Dia,Campanha,Grupo de anúncios,Impr.,Cliques,CTR,Código da moeda,Custo,Conversões
2026-06-19,[V4][SEARCH][CLINICA ABA],Grupo de anúncios 1,11,0,"0,00%",BRL,"0,00","0,00"
2026-06-20,[V4][SEARCH][CLINICA ABA],Grupo de anúncios 1,207,7,"3,38%",BRL,"99,77","1,00"
2026-06-21,[V4][SEARCH][CLINICA ABA],Grupo de anúncios 1,98,8,"8,16%",BRL,"61,86","0,00"
2026-06-22,[V4][SEARCH][CLINICA ABA],Grupo de anúncios 1,265,14,"5,28%",BRL,"53,80","0,00"
2026-06-23,[V4][SEARCH][CLINICA ABA],Grupo de anúncios 1,410,12,"2,93%",BRL,"54,60","0,00"
2026-06-24,[V4][SEARCH][CLINICA ABA],Grupo de anúncios 1,352,14,"3,98%",BRL,"45,50","0,00"
2026-06-25,[V4][SEARCH][CLINICA ABA],Grupo de anúncios 1,645,17,"2,64%",BRL,"47,93","1,00"
2026-06-26,[V4][SEARCH][CLINICA ABA],Grupo de anúncios 1,615,18,"2,93%",BRL,"47,49","0,00"
2026-06-27,[V4][SEARCH][CLINICA ABA],Grupo de anúncios 1,422,12,"2,84%",BRL,"48,23","0,00"
2026-06-28,[V4][SEARCH][CLINICA ABA],Grupo de anúncios 1,182,12,"6,59%",BRL,"40,80","0,00"
