Termos de pesquisa
1 de maio de 2026 - 28 de julho de 2026
Dia,Termo de pesquisa,Tipo de correspondência dos termos de pesquisa,Adicionada/excluída,Cliques,Impr.,CTR,Código da moeda,CPC méd.,Custo,% de impr. (1ª posição),% de impr. (parte sup.),Conversões,Conv. de visualização,Custo / conv.,Taxa de conv.
2026-06-26,collect aba,Correspondência ampla,Excluído,3,24,"12,50%",BRL,"2,61","7,82","33,33%","45,83%","0,00",0,0,"0,00%"
2026-06-27,iclin,Correspondência ampla,Excluído,3,32,"9,38%",BRL,"4,05","12,14","50,00%","62,50%","0,00",0,0,"0,00%"
2026-06-21,gestão aba,Correspondência de frase (variação aproximada),Nenhum,2,1,"200,00%",BRL,"4,95","9,90","100,00%","100,00%","0,00",0,0,"0,00%"
2026-06-22,collect aba,Correspondência ampla,Excluído,2,13,"15,38%",BRL,"4,12","8,23","69,23%","69,23%","0,00",0,0,"0,00%"
2026-06-22,terapee,Correspondência ampla,Excluído,2,5,"40,00%",BRL,"3,19","6,38","40,00%","80,00%","0,00",0,0,"0,00%"
2026-06-23,scall,Correspondência ampla,Excluído,2,6,"33,33%",BRL,"4,62","9,24","66,67%","66,67%","0,00",0,0,"0,00%"
2026-06-24,collect aba,Correspondência ampla,Excluído,2,9,"22,22%",BRL,"4,21","8,42","44,44%","55,56%","0,00",0,0,"0,00%"
2026-06-26,iclin,Correspondência ampla,Excluído,2,109,"1,83%",BRL,"3,04","6,07","44,95%","57,80%","0,00",0,0,"0,00%"
2026-06-28,clinicweb,Correspondência ampla,Excluído,2,10,"20,00%",BRL,"3,28","6,55","30,00%","40,00%","0,00",0,0,"0,00%"
2026-06-20,sistema para psicologos,Correspondência de frase (variação aproximada),Nenhum,1,6,"16,67%",BRL,"16,41","16,41","25,00%","75,00%","0,00",0,0,"0,00%"
2026-06-20,sistema para psicólogos,Correspondência de frase (variação aproximada),Nenhum,1,1,"100,00%",BRL,"10,82","10,82","100,00%","100,00%","0,00",0,0,"0,00%"
2026-06-21,plano agendamento on line,Correspondência ampla,Nenhum,1,1,"100,00%",BRL,"7,87","7,87","100,00%","100,00%","0,00",0,0,"0,00%"
2026-06-21,prontuário eletrônico,Correspondência ampla,Nenhum,1,3,"33,33%",BRL,"8,55","8,55","33,33%","66,67%","0,00",0,0,"0,00%"
2026-06-22,clinic connect,Correspondência ampla,Nenhum,1,1,"100,00%",BRL,"3,65","3,65","100,00%","100,00%","0,00",0,0,"0,00%"
