Canais
1 de janeiro de 2026 - 6 de julho de 2026
Canal (grupo),Tipo de posição (grupo),Campanha,Grupo de anúncios,Visualizações do TrueView,Taxa de visualização do TrueView,Código da moeda,CPV médio do TrueView,Cliques,Impr.,CTR,CPC méd.,Custo,CPM médio
"Mobile App: Mangaflix: Manga Reader (Google Play), by FluxTech Corp",Aplicativo para dispositivos móveis,Branding - BR,Branding Brasil,0,0,BRL,0,0,5,"0,00%",0,"0,00","0,00"
catracalivre.com.br,Página da web,Branding - BR,Branding Brasil,0,0,BRL,0,0,5,"0,00%",0,"0,00","0,00"
correiobraziliense.com.br,Página da web,Branding - BR,Branding Brasil,0,0,BRL,0,0,7,"0,00%",0,"0,00","0,00"
cuerpomente.com,Página da web,Branding - BR,Branding Brasil,0,0,BRL,0,0,7,"0,00%",0,"0,00","0,00"
diariodolitoral.com.br,Página da web,Branding - BR,Branding Brasil,0,0,BRL,0,0,8,"0,00%",0,"0,00","0,00"
gamin4.com,Página da web,Branding - BR,Branding Brasil,0,0,BRL,0,0,9,"0,00%",0,"0,00","0,00"
gazetasp.com.br,Página da web,Branding - BR,Branding Brasil,0,0,BRL,0,0,14,"0,00%",0,"0,00","0,00"
geniol.com.br,Página da web,Branding - BR,Branding Brasil,0,0,BRL,0,0,8,"0,00%",0,"0,00","0,00"
glance.com,Página da web,Branding - BR,Branding Brasil,0,0,BRL,0,0,32,"0,00%",0,"0,00","0,00"
globo.com,Página da web,Branding - BR,Branding Brasil,0,0,BRL,0,0,5,"0,00%",0,"0,00","0,00"
goodtoknowthis.com,Página da web,Branding - BR,Branding Brasil,0,0,BRL,0,0,5,"0,00%",0,"0,00","0,00"
katiaribeiro.com.br,Página da web,Branding - BR,Branding Brasil,0,0,BRL,0,0,5,"0,00%",0,"0,00","0,00"
ndmais.com.br,Página da web,Branding - BR,Branding Brasil,0,0,BRL,0,0,10,"0,00%",0,"0,00","0,00"
olx.com.br,Página da web,Branding - BR,Branding Brasil,0,0,BRL,0,0,9,"0,00%",0,"0,00","0,00"
portal6.com.br,Página da web,Branding - BR,Branding Brasil,0,0,BRL,0,0,20,"0,00%",0,"0,00","0,00"
techtudo.com.br,Página da web,Branding - BR,Branding Brasil,0,0,BRL,0,0,8,"0,00%",0,"0,00","0,00"
thewatchsite.com,Página da web,Branding - BR,Branding Brasil,0,0,BRL,0,0,6,"0,00%",0,"0,00","0,00"
tupi.fm,Página da web,Branding - BR,Branding Brasil,0,0,BRL,0,0,11,"0,00%",0,"0,00","0,00"
uol.com.br,Página da web,Branding - BR,Branding Brasil,0,0,BRL,0,0,5,"0,00%",0,"0,00","0,00"
vocesabiadisso.pt,Página da web,Branding - BR,Branding Brasil,0,0,BRL,0,1,2,"50,00%","0,28","0,28","140,00"
O canal não está mais disponível,Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,4,5,"80,00%","0,35","1,38","276,77"
  Rosineide anselmo ,Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,1,1,"100,00%","0,32","0,32","318,06"
 Forever78,Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,1,1,"100,00%","0,16","0,16","161,76"
 Vinicius Iracet,Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,1,2,"50,00%","0,34","0,34","171,17"
1001jogos.com.br,Página da web,Branding - SP,Branding - São Paulo,0,0,BRL,0,0,6,"0,00%",0,"0,00","0,00"
"123 Fernando - Testes, Consertos e Criações",Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,1,9,"11,11%","0,22","0,22","24,43"
1weatherapp.com,Página da web,Branding - SP,Branding - São Paulo,0,0,BRL,0,0,92,"0,00%",0,"0,00","0,00"
2hs store,Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,1,1,"100,00%","0,17","0,17","170,45"
365ofertas.com.br,Página da web,Branding - SP,Branding - São Paulo,0,0,BRL,0,22,377,"5,84%","0,54","11,90","31,58"
@Dicas da Marta,Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,3,26,"11,54%","0,27","0,81","31,06"
@rom863 CARROS E VARIEDADES.,Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,1,1,"100,00%","0,26","0,26","256,43"
A Giovana Antunes,Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,3,27,"11,11%","0,27","0,80","29,66"
A VOZ do POVO Brasileiro,Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,1,1,"100,00%","0,26","0,26","264,39"
A magia das ervas,Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,1,1,"100,00%","0,26","0,26","257,37"
A minionaria TEREZA MENDES,Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,1,1,"100,00%","0,21","0,21","208,56"
A ruiva da roça / Fabio Castro,Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,1,1,"100,00%","0,18","0,18","175,98"
ALEMAO DA CARAVAN,Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,1,1,"100,00%","0,35","0,35","353,34"
AM3NlC,Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,2,1,"200,00%","0,22","0,45","448,25"
AQUISEFAZOFICIAL,Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,1,1,"100,00%","0,18","0,18","175,53"
ARTE DA GUERRA,Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,1,1,"100,00%","0,28","0,28","275,99"
ASMR INDIAN,Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,1,26,"3,85%","0,35","0,35","13,48"
ATELIÊ GABY CROCHÊ ,Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,1,2,"50,00%","0,25","0,25","125,94"
Abner Matias,Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,0,5,"0,00%",0,"0,00","0,00"
Adeline Camargo,Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,2,2,"100,00%","0,30","0,59","297,35"
Adilson vídeos,Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,1,1,"100,00%","0,27","0,27","269,60"
Adorare Christe,Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,1,1,"100,00%","0,29","0,29","287,85"
Adriana Terapeuta,Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,0,5,"0,00%",0,"0,00","0,00"
Agrônomo Fábricio Andrade,Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,1,1,"100,00%","0,25","0,25","252,94"
Aguinaldo Silva Official,Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,9,86,"10,47%","0,26","2,36","27,42"
Alex Amorim,Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,1,1,"100,00%","0,29","0,29","291,42"
Alex Novelas,Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,0,5,"0,00%",0,"0,00","0,00"
Alice e Juju ,Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,7,20,"35,00%","0,19","1,34","66,99"
Aline Füchter Ouriques,Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,0,29,"0,00%",0,"0,00","0,00"
Alison Eletros ,Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,1,1,"100,00%","0,20","0,20","203,81"
Alla ASMR Soap,Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,1,1,"100,00%","0,31","0,31","311,05"
Allan dos Panos,Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,0,26,"0,00%",0,"0,00","0,00"
Além da Ciência - Sérgio Sacani,Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,1,1,"100,00%","0,35","0,35","348,81"
Amanda e Fernando,Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,1,1,"100,00%","0,31","0,31","306,83"
Américo,Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,2,1,"200,00%","0,29","0,58","577,91"
Ana Cecília ,Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,1,3,"33,33%","0,24","0,24","78,78"
Ana Clara Rocha / Grupo de Oração Exército de Deus,Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,1,2,"50,00%","0,29","0,29","146,57"
Ana Paula Gomes,Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,2,13,"15,38%","0,17","0,35","26,62"
Ana Poli,Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,1,1,"100,00%","0,25","0,25","245,71"
Analise Melhor,Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,1,1,"100,00%","0,18","0,18","184,76"
André Guedes,Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,1,2,"50,00%","0,29","0,29","146,76"
André Piunti,Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,1,2,"50,00%","0,19","0,19","96,45"
Angela Xavier,Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,1,1,"100,00%","0,27","0,27","268,04"
Anos Que Falam,Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,5,20,"25,00%","0,16","0,81","40,30"
Antonio Edesio,Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,1,1,"100,00%","0,34","0,34","342,60"
AoRaboni,Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,1,1,"100,00%","0,26","0,26","255,88"
Ape da Bella - Regina Fernandes,Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,1,2,"50,00%","0,25","0,25","122,82"
Aprecie sua casa,Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,1,2,"50,00%","0,35","0,35","174,30"
Aprendendo na Palavra,Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,1,44,"2,27%","0,14","0,14","3,14"
Aquiles Tv,Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,6,31,"19,35%","0,22","1,35","43,49"
Arcomtec Refrigeração,Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,0,0,0,0,"0,00",0
Arilton Oliveira - Oficial,Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,1,1,"100,00%","0,26","0,26","259,99"
Arquibancada Tricolor,Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,1,1,"100,00%","0,33","0,33","333,03"
Arquivos do Peter ,Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,1,1,"100,00%","0,29","0,29","285,74"
As Irmãs Barros,Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,1,2,"50,00%","0,29","0,29","144,36"
AssombradO.com.br,Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,1,1,"100,00%","0,20","0,20","204,40"
Atelier e Artesanatos da Prof. Raquel,Canal do YouTube,Branding - SP,Branding - São Paulo,0,0,BRL,0,1,1,"100,00%","0,32","0,32","318,16"
