Informações do leilão - pesquisa
1 de janeiro de 2026 - 6 de julho de 2026
Dia,Domínio do URL de visualização,Parcela de impressões da pesquisa (Informações do leilão),Taxa de sobreposição da pesquisa,Taxa de posição superior,Taxa da parte superior da página,Taxa da 1ª posição na página,Parcela de superação da pesquisa
2026-01-16,Você,< 10%, --, --,"86,40%","58,80%", --
2026-01-20,Você,< 10%, --, --,"79,08%","39,11%", --
2026-01-21,Você,< 10%, --, --,"79,50%","35,74%", --
2026-01-26,Você,< 10%, --, --,"75,63%","28,01%", --
2026-01-27,Você,< 10%, --, --,"73,79%","30,17%", --
2026-01-29,Você,< 10%, --, --,"73,97%","33,33%", --
2026-01-31,Você,< 10%, --, --,"75,16%","26,12%", --
2026-02-28,Você,"40,00%", --, --,"91,36%","54,32%", --
2026-03-24,Você,< 10%, --, --,"84,23%","53,94%", --
2026-03-31,Você,< 10%, --, --,"85,85%","40,57%", --
2026-04-01,Você,< 10%, --, --,"85,16%","53,85%", --
2026-04-09,Você,< 10%, --, --,"80,62%","28,30%", --
2026-04-10,Você,< 10%, --, --,"81,47%","32,46%", --
2026-04-11,Você,< 10%, --, --,"82,58%","20,61%", --
2026-04-12,Você,< 10%, --, --,"74,92%","16,61%", --
2026-04-15,Você,< 10%, --, --,"78,51%","29,51%", --
2026-04-16,Você,< 10%, --, --,"78,41%","29,07%", --
2026-04-17,Você,< 10%, --, --,"78,04%","29,45%", --
2026-05-12,Você,< 10%, --, --,"64,62%","21,18%", --
2026-05-13,Você,"11,25%", --, --,"65,34%","21,33%", --
2026-05-14,Você,"10,28%", --, --,"64,73%","21,60%", --
2026-05-15,Você,< 10%, --, --,"62,20%","23,12%", --
2026-05-16,Você,< 10%, --, --,"74,40%","23,73%", --
2026-05-17,Você,< 10%, --, --,"72,47%","22,16%", --
2026-05-27,Você,< 10%, --, --,"69,56%","18,94%", --
2026-05-28,Você,< 10%, --, --,"70,83%","18,51%", --
2026-05-29,Você,"10,42%", --, --,"75,48%","32,26%", --
2026-05-30,Você,"10,07%", --, --,"72,20%","21,19%", --
2026-06-07,Você,"19,49%", --, --,"80,38%","25,00%", --
2026-06-08,Você,"23,01%", --, --,"85,12%","26,83%", --
2026-06-09,Você,"24,02%", --, --,"91,41%","41,41%", --
2026-06-10,Você,"32,11%", --, --,"81,97%","48,36%", --
2026-06-11,Você,"32,89%", --, --,"92,00%","43,00%", --
2026-06-12,Você,"36,47%", --, --,"93,55%","56,99%", --
2026-07-01,Você,"14,63%", --, --,"56,90%","12,93%", --
2026-07-02,Você,< 10%, --, --,"52,02%","10,31%", --
2026-07-03,Você,< 10%, --, --,"43,04%","7,09%", --
2026-07-04,Você,"10,76%", --, --,"47,29%","9,85%", --
2026-07-05,Você,"13,21%", --, --,"45,98%","10,10%", --
2026-07-06,Você,< 10%, --, --,"44,92%","8,69%", --
2026-01-16,amazon.com.br,< 10%,"14,00%","8,57%","79,53%","18,50%","9,18%"
2026-01-20,amazon.com.br,"12,68%","21,31%","37,23%","79,33%","28,45%","5,59%"
2026-01-21,amazon.com.br,< 10%,"16,81%","38,79%","84,86%","30,83%","6,96%"
2026-01-26,amazon.com.br,"12,30%","17,02%","47,86%","74,30%","36,78%","6,67%"
2026-01-27,amazon.com.br,< 10%,"15,08%","43,75%","83,90%","27,14%","8,07%"
2026-01-29,amazon.com.br,"13,13%","23,29%","46,08%","76,36%","30,56%","5,33%"
2026-01-31,amazon.com.br,"13,66%","21,36%","57,08%","89,16%","32,15%","6,04%"
2026-02-28,amazon.com.br,"13,83%","19,75%","25,00%","76,79%","28,57%","38,02%"
2026-03-24,amazon.com.br,"15,35%","23,03%","24,66%","90,92%","17,91%","5,63%"
2026-03-31,amazon.com.br,"12,42%","9,43%","40,00%","91,37%","25,18%","9,12%"
2026-04-01,amazon.com.br,< 10%,"9,07%","18,18%","90,81%","23,24%","7,86%"
2026-04-09,amazon.com.br,"10,29%","15,44%","47,78%","88,49%","27,77%","6,27%"
2026-04-10,amazon.com.br,"11,77%","19,65%","50,63%","87,33%","22,07%","6,31%"
2026-04-11,amazon.com.br,"13,20%","18,14%","62,40%","88,21%","31,39%","6,43%"
