Palavra-chave de pesquisa
1 de janeiro de 2026 - 6 de julho de 2026
Dia,Pesquisar palavra-chave,Status da palavra-chave da rede de pesquisa,Motivos do status da palavra-chave da rede de pesquisa,Pesquisar tipo de correspondência de palavra-chave,Campanha,Grupo de anúncios,Código da moeda,CPC máx. da palavra-chave,Cliques,Impr.,CTR,CPC méd.,Custo,% de impr. (1ª posição),% de impr. (parte sup.),Conversões,Conv. de visualização,Custo / conv.,Taxa de conv.,CPM médio
2026-06-07,hyla aspirador,Qualificado, --,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",32,150,"21,33%","0,81","25,87","27,62%","75,24%","178,00",0,"0,15","556,26%","172,48"
2026-06-08,hyla aspirador,Qualificado, --,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",26,112,"23,21%","0,98","25,36","28,89%","80,00%","169,50",0,"0,15","651,94%","226,39"
2026-07-04,aspirador de pó portátil,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",23,1.225,"1,88%","1,53","35,25","8,64%","46,60%","128,29",0,"0,27","557,78%","28,78"
2026-07-05,aspirador de pó portátil,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",22,1.439,"1,53%","0,90","19,82","10,80%","44,40%","101,00",0,"0,20","459,09%","13,77"
2026-05-30,aspirador de pó portátil,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",21,1.183,"1,78%","1,10","23,10","20,78%","74,66%","109,00",0,"0,21","519,05%","19,53"
2026-05-13,aspirador de pó portátil,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",19,951,"2,00%","1,28","24,23","23,76%","69,46%","98,00",0,"0,25","515,79%","25,48"
2026-05-14,aspirador de pó portátil,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",19,1.030,"1,84%","1,33","25,33","20,42%","68,06%","95,50",0,"0,27","502,63%","24,59"
2026-05-27,aspirador de pó portátil,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",18,962,"1,87%","0,87","15,66","13,04%","74,46%","81,00",0,"0,19","450,00%","16,28"
2026-07-03,aspirador de pó portátil,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",18,1.355,"1,33%","1,22","21,89","4,00%","41,45%","86,00",0,"0,25","477,78%","16,16"
2026-01-26,aspirador para limpar,Não qualificado,campanha pausada,Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",16,338,"4,73%","1,33","21,27","22,41%","73,10%","67,00",0,"0,32","418,75%","62,94"
2026-06-08,hyla,Qualificado, --,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",15,52,"28,85%","1,05","15,82","29,03%","87,10%","83,00",0,"0,19","553,33%","304,32"
2026-04-10,aspirador de pó portátil,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",14,564,"2,48%","1,30","18,14","28,05%","81,40%","81,00",0,"0,22","578,57%","32,15"
2026-05-12,aspirador de pó portátil,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",14,895,"1,56%","0,79","11,05","18,97%","68,10%","75,00",0,"0,15","535,71%","12,34"
2026-05-28,aspirador de pó portátil,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",14,969,"1,44%","0,92","12,85","13,11%","77,05%","72,00",0,"0,18","514,29%","13,26"
2026-04-11,vassoura eletrica,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",14,435,"3,22%","0,99","13,84","13,61%","84,82%","70,00",0,"0,20","500,00%","31,82"
2026-05-01,aspirador de pó portátil,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",13,861,"1,51%","0,80","10,41","17,46%","79,89%","57,00",0,"0,18","438,46%","12,10"
2026-05-16,aspirador de pó portátil,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",13,498,"2,61%","0,84","10,96","14,19%","78,06%","42,00",0,"0,26","323,08%","22,01"
2026-01-27,limpeza de estofados,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",12,163,"7,36%","1,23","14,78","37,17%","75,22%","36,00",0,"0,41","300,00%","90,67"
2026-04-09,aspirador de pó portátil,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",12,412,"2,91%","1,20","14,40","24,11%","78,01%","44,25",0,"0,33","368,73%","34,95"
2026-05-02,aspirador de pó portátil,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",12,914,"1,31%","0,75","8,96","15,20%","83,20%","72,00",0,"0,12","600,00%","9,81"
2026-05-03,aspirador de pó portátil,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",12,855,"1,40%","0,58","6,95","14,04%","78,95%","48,00",0,"0,14","400,00%","8,13"
2026-01-26,limpeza de estofados,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",11,287,"3,83%","0,99","10,93","26,09%","60,14%","31,00",0,"0,35","281,82%","38,09"
2026-04-11,aspirador de pó portátil,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",11,544,"2,02%","0,89","9,74","26,67%","83,81%","66,00",0,"0,15","600,00%","17,91"
2026-04-19,hyla aspirador,Qualificado, --,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",11,182,"6,04%","0,93","10,19","19,63%","74,77%","37,00",0,"0,28","336,36%","55,97"
2026-01-21,limpeza de estofados,Não qualificado,"baixa qualidade, campanha pausada",Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",10,230,"4,35%","1,19","11,92","27,45%","76,47%","43,00",0,"0,28","430,00%","51,83"
2026-01-20,aspirador tipo vassoura,Não qualificado,campanha pausada,Correspondência ampla,Branding - BR,Branding Brasil,BRL,"0,38",10,366,"2,73%","1,52","15,20","29,23%","77,05%","70,00",0,"0,22","700,00%","41,53"
2026-04-29,aspirador de pó portátil,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",10,499,"2,00%","0,76","7,62","14,29%","80,95%","49,00",0,"0,16","490,00%","15,27"
2026-05-18,aspirador de pó portátil,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",10,769,"1,30%","0,52","5,20","15,19%","67,09%","38,00",0,"0,14","380,00%","6,76"
2026-05-25,aspirador de pó portátil,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",10,402,"2,49%","0,35","3,47","22,73%","90,91%","30,00",0,"0,12","300,00%","8,63"
2026-05-12,vassoura eletrica,Limitado,baixa qualidade,Correspondência ampla,Branding - SP,Branding - São Paulo,BRL,"0,01",10,217,"4,61%","0,97","9,70","20,62%","68,04%","55,00",0,"0,18","550,00%","44,72"
