Performance da campanha
1 de janeiro de 2026 - 6 de julho de 2026
Dia,Campanha,Estado da campanha,Tipo de campanha,Cliques,Impr.,CTR,Código da moeda,CPC méd.,Custo,% de impr. (1ª posição),% de impr. (parte sup.),Conversões,Conv. de visualização,Custo / conv.,Taxa de conv.
2026-04-03,PMAX,Ativada,Performance Max,2.579,41.817,"6,17%",BRL,"0,09","237,46",0,0,"150,20",0,"1,58","1,04%"
2026-05-10,PMAX,Ativada,Performance Max,2.516,73.182,"3,44%",BRL,"0,11","269,72",0,0,"32,00",0,"8,43","0,25%"
2026-04-04,PMAX,Ativada,Performance Max,2.142,67.445,"3,18%",BRL,"0,07","146,82",0,0,"86,00",0,"1,71","0,32%"
2026-04-02,PMAX,Ativada,Performance Max,1.993,23.901,"8,34%",BRL,"0,12","246,59",0,0,"202,80",0,"1,22","2,51%"
2026-04-20,PMAX,Ativada,Performance Max,1.723,29.499,"5,84%",BRL,"0,11","187,36",0,0,"34,00",0,"5,51","1,97%"
2026-04-08,PMAX,Ativada,Performance Max,1.129,14.325,"7,88%",BRL,"0,22","249,53",0,0,"117,00",0,"2,13","5,02%"
2026-01-21,PMAX,Ativada,Performance Max,1.000,16.450,"6,08%",BRL,"0,10","98,75",0,0,"82,67",0,"1,19","0,94%"
2026-04-05,PMAX,Ativada,Performance Max,830,21.139,"3,93%",BRL,"0,09","71,76",0,0,"58,00",0,"1,24","0,71%"
2026-04-19,PMAX,Ativada,Performance Max,768,17.826,"4,31%",BRL,"0,21","159,05",0,0,"7,00",0,"22,72","0,90%"
2026-01-15,PMAX,Ativada,Performance Max,728,31.759,"2,29%",BRL,"0,12","84,13",0,0,"59,00",0,"1,43","5,13%"
2026-01-16,PMAX,Ativada,Performance Max,677,31.628,"2,14%",BRL,"0,11","76,20",0,0,"53,00",0,"1,44","3,93%"
2026-01-31,PMAX,Ativada,Performance Max,671,5.594,"11,99%",BRL,"0,15","98,96",0,0,"210,22",0,"0,47","10,87%"
