Performance dos anúncios
1 de janeiro de 2026 - 6 de julho de 2026
Dia,Status do anúncio,Tipo de anúncio,URL final,URLs de beacon,Título,Título longo 1,Título longo 2,Título longo 3,Título longo 4,Título longo 5,Título 1,Posição do título 1,Título 2,Posição do título 2,Título 3,Posição do título 3,Título 4,Posição do título 4,Título 5,Posição do título 5,Título 6,Posição do título 6,Título 7,Posição do título 7,Título 8,Posição do título 8,Título 9,Posição do título 9,Título 10,Posição do título 10,Título 11,Posição do título 11,Título 12,Posição do título 12,Título 13,Posição do título 13,Título 14,Posição do título 14,Título 15,Posição do título 15,Descrição,Descrição 1,Posição da descrição 1,Descrição 2,Posição da descrição 2,Descrição 3,Posição da descrição 3,Descrição 4,Posição da descrição 4,Descrição 5,Código do logotipo,Nome da empresa,Vídeo,Texto de call-to-action,Texto de call-to-action 1,Texto de call-to-action 2,Texto de call-to-action 3,Texto de call-to-action 4,Texto de call-to-action 5,Título da call-to-action,ID do vídeo,Banner complementar,Nome do anúncio,URL de visualização,Caminho 1,Caminho 2,Sugestão de anúncio aplicada automaticamente,URL final para dispositivos móveis,Modelo de acompanhamento,Sufixo do URL final,Parâmetro personalizado,Campanha,Grupo de anúncios,Tipo de campanha,Subtipo da campanha,URL final do anúncio,URL final para dispositivos móveis do anúncio,Cliques,Impr.,CTR,Código da moeda,CPC méd.,Custo,Conversões,Conv. de visualização,Custo / conv.,Taxa de conv.
2026-06-07,Ativado,Anúncio responsivo de pesquisa,https://hyladobrasil.com.br/aspirador-hyla-do-brasil/#agendardemonstracao, --, --, --, --, --, --, --,HYLA do Brasil, --,HYLA Aspirador Antialérgico, --,O Melhor aspirador do mundo, --,Ar Puro e Limpeza com HYLA, --,Livre-se Das Alergias com HYLA, --,"HYLA, Livre-se da Poeira", --,Aspirador de Pó e Água HYLA, --,Comprar Aspirador HYLA, --,"Adeus asma, rinite e dermatite", --,"HYLA, Tecnologia Alemã!", --,Aspirador e purificador HYLA, --,Aspirador à água, --,Saúde e qualidade de vida, --,Elimine os ácaros do colchão, --,HYLA em casa, --, --,"HYLA EST DEFENDER purifica o ar, perfuma e elimina todo o pó e contaminações do ambiente.", --,"HYLA elimina ácaros, fezes de ácaros, fungos, bactérias e vírus de toda a casa.", --,"HYLA é saúde, qualidade de vida, bem-estar e conforto para toda família.", --,HYLA EST DEFENDER é o aspirador purificador de ar que usa apenas água como filtro., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Não,, --, --,,Branding - SP,Branding - São Paulo,Pesquisa,Todos os recursos,https://hyladobrasil.com.br/aspirador-hyla-do-brasil/#agendardemonstracao,,140,5.246,"2,67%",BRL,"0,50","70,39","745,68",0,"0,09","532,63%"
2026-05-12,Ativado,Anúncio responsivo de pesquisa,https://hyladobrasil.com.br/aspirador-hyla-do-brasil/#agendardemonstracao, --, --, --, --, --, --, --,HYLA do Brasil, --,HYLA Aspirador Antialérgico, --,O Melhor aspirador do mundo, --,Ar Puro e Limpeza com HYLA, --,Livre-se Das Alergias com HYLA, --,"HYLA, Livre-se da Poeira", --,Aspirador de Pó e Água HYLA, --,Comprar Aspirador HYLA, --,"Adeus asma, rinite e dermatite", --,"HYLA, Tecnologia Alemã!", --,Aspirador e purificador HYLA, --,Aspirador à água, --,Saúde e qualidade de vida, --,Elimine os ácaros do colchão, --,HYLA em casa, --, --,"HYLA EST DEFENDER purifica o ar, perfuma e elimina todo o pó e contaminações do ambiente.", --,"HYLA elimina ácaros, fezes de ácaros, fungos, bactérias e vírus de toda a casa.", --,"HYLA é saúde, qualidade de vida, bem-estar e conforto para toda família.", --,HYLA EST DEFENDER é o aspirador purificador de ar que usa apenas água como filtro., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Não,, --, --,,Branding - SP,Branding - São Paulo,Pesquisa,Todos os recursos,https://hyladobrasil.com.br/aspirador-hyla-do-brasil/#agendardemonstracao,,130,6.968,"1,87%",BRL,"0,58","75,55","637,00",0,"0,12","490,00%"
2026-05-13,Ativado,Anúncio responsivo de pesquisa,https://hyladobrasil.com.br/aspirador-hyla-do-brasil/#agendardemonstracao, --, --, --, --, --, --, --,HYLA do Brasil, --,HYLA Aspirador Antialérgico, --,O Melhor aspirador do mundo, --,Ar Puro e Limpeza com HYLA, --,Livre-se Das Alergias com HYLA, --,"HYLA, Livre-se da Poeira", --,Aspirador de Pó e Água HYLA, --,Comprar Aspirador HYLA, --,"Adeus asma, rinite e dermatite", --,"HYLA, Tecnologia Alemã!", --,Aspirador e purificador HYLA, --,Aspirador à água, --,Saúde e qualidade de vida, --,Elimine os ácaros do colchão, --,HYLA em casa, --, --,"HYLA EST DEFENDER purifica o ar, perfuma e elimina todo o pó e contaminações do ambiente.", --,"HYLA elimina ácaros, fezes de ácaros, fungos, bactérias e vírus de toda a casa.", --,"HYLA é saúde, qualidade de vida, bem-estar e conforto para toda família.", --,HYLA EST DEFENDER é o aspirador purificador de ar que usa apenas água como filtro., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Não,, --, --,,Branding - SP,Branding - São Paulo,Pesquisa,Todos os recursos,https://hyladobrasil.com.br/aspirador-hyla-do-brasil/#agendardemonstracao,,127,6.147,"2,07%",BRL,"0,79","100,00","605,02",0,"0,17","476,39%"
2026-05-14,Ativado,Anúncio responsivo de pesquisa,https://hyladobrasil.com.br/aspirador-hyla-do-brasil/#agendardemonstracao, --, --, --, --, --, --, --,HYLA do Brasil, --,HYLA Aspirador Antialérgico, --,O Melhor aspirador do mundo, --,Ar Puro e Limpeza com HYLA, --,Livre-se Das Alergias com HYLA, --,"HYLA, Livre-se da Poeira", --,Aspirador de Pó e Água HYLA, --,Comprar Aspirador HYLA, --,"Adeus asma, rinite e dermatite", --,"HYLA, Tecnologia Alemã!", --,Aspirador e purificador HYLA, --,Aspirador à água, --,Saúde e qualidade de vida, --,Elimine os ácaros do colchão, --,HYLA em casa, --, --,"HYLA EST DEFENDER purifica o ar, perfuma e elimina todo o pó e contaminações do ambiente.", --,"HYLA elimina ácaros, fezes de ácaros, fungos, bactérias e vírus de toda a casa.", --,"HYLA é saúde, qualidade de vida, bem-estar e conforto para toda família.", --,HYLA EST DEFENDER é o aspirador purificador de ar que usa apenas água como filtro., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Não,, --, --,,Branding - SP,Branding - São Paulo,Pesquisa,Todos os recursos,https://hyladobrasil.com.br/aspirador-hyla-do-brasil/#agendardemonstracao,,120,6.299,"1,91%",BRL,"0,81","97,54","518,27",0,"0,19","431,89%"
2026-04-28,Ativado,Anúncio responsivo de pesquisa,https://hyladobrasil.com.br/aspirador-hyla-do-brasil/#agendardemonstracao, --, --, --, --, --, --, --,HYLA do Brasil, --,HYLA Aspirador Antialérgico, --,O Melhor aspirador do mundo, --,Ar Puro e Limpeza com HYLA, --,Livre-se Das Alergias com HYLA, --,"HYLA, Livre-se da Poeira", --,Aspirador de Pó e Água HYLA, --,Comprar Aspirador HYLA, --,"Adeus asma, rinite e dermatite", --,"HYLA, Tecnologia Alemã!", --,Aspirador e purificador HYLA, --,Aspirador à água, --,Saúde e qualidade de vida, --,Elimine os ácaros do colchão, --,HYLA em casa, --, --,"HYLA EST DEFENDER purifica o ar, perfuma e elimina todo o pó e contaminações do ambiente.", --,"HYLA elimina ácaros, fezes de ácaros, fungos, bactérias e vírus de toda a casa.", --,"HYLA é saúde, qualidade de vida, bem-estar e conforto para toda família.", --,HYLA EST DEFENDER é o aspirador purificador de ar que usa apenas água como filtro., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Não,, --, --,,Branding - SP,Branding - São Paulo,Pesquisa,Todos os recursos,https://hyladobrasil.com.br/aspirador-hyla-do-brasil/#agendardemonstracao,,119,5.103,"2,33%",BRL,"0,28","33,45","406,07",0,"0,08","341,24%"
2026-06-08,Ativado,Anúncio responsivo de pesquisa,https://hyladobrasil.com.br/aspirador-hyla-do-brasil/#agendardemonstracao, --, --, --, --, --, --, --,HYLA do Brasil, --,HYLA Aspirador Antialérgico, --,O Melhor aspirador do mundo, --,Ar Puro e Limpeza com HYLA, --,Livre-se Das Alergias com HYLA, --,"HYLA, Livre-se da Poeira", --,Aspirador de Pó e Água HYLA, --,Comprar Aspirador HYLA, --,"Adeus asma, rinite e dermatite", --,"HYLA, Tecnologia Alemã!", --,Aspirador e purificador HYLA, --,Aspirador à água, --,Saúde e qualidade de vida, --,Elimine os ácaros do colchão, --,HYLA em casa, --, --,"HYLA EST DEFENDER purifica o ar, perfuma e elimina todo o pó e contaminações do ambiente.", --,"HYLA elimina ácaros, fezes de ácaros, fungos, bactérias e vírus de toda a casa.", --,"HYLA é saúde, qualidade de vida, bem-estar e conforto para toda família.", --,HYLA EST DEFENDER é o aspirador purificador de ar que usa apenas água como filtro., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Não,, --, --,,Branding - SP,Branding - São Paulo,Pesquisa,Todos os recursos,https://hyladobrasil.com.br/aspirador-hyla-do-brasil/#agendardemonstracao,,119,3.823,"3,11%",BRL,"0,81","96,31","610,50",0,"0,16","513,03%"
2026-05-07,Ativado,Anúncio responsivo de pesquisa,https://hyladobrasil.com.br/aspirador-hyla-do-brasil/#agendardemonstracao, --, --, --, --, --, --, --,HYLA do Brasil, --,HYLA Aspirador Antialérgico, --,O Melhor aspirador do mundo, --,Ar Puro e Limpeza com HYLA, --,Livre-se Das Alergias com HYLA, --,"HYLA, Livre-se da Poeira", --,Aspirador de Pó e Água HYLA, --,Comprar Aspirador HYLA, --,"Adeus asma, rinite e dermatite", --,"HYLA, Tecnologia Alemã!", --,Aspirador e purificador HYLA, --,Aspirador à água, --,Saúde e qualidade de vida, --,Elimine os ácaros do colchão, --,HYLA em casa, --, --,"HYLA EST DEFENDER purifica o ar, perfuma e elimina todo o pó e contaminações do ambiente.", --,"HYLA elimina ácaros, fezes de ácaros, fungos, bactérias e vírus de toda a casa.", --,"HYLA é saúde, qualidade de vida, bem-estar e conforto para toda família.", --,HYLA EST DEFENDER é o aspirador purificador de ar que usa apenas água como filtro., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Não,, --, --,,Branding - SP,Branding - São Paulo,Pesquisa,Todos os recursos,https://hyladobrasil.com.br/aspirador-hyla-do-brasil/#agendardemonstracao,,114,3.924,"2,91%",BRL,"0,30","34,75","398,71",0,"0,09","349,74%"
2026-05-26,Ativado,Anúncio responsivo de pesquisa,https://hyladobrasil.com.br/aspirador-hyla-do-brasil/#agendardemonstracao, --, --, --, --, --, --, --,HYLA do Brasil, --,HYLA Aspirador Antialérgico, --,O Melhor aspirador do mundo, --,Ar Puro e Limpeza com HYLA, --,Livre-se Das Alergias com HYLA, --,"HYLA, Livre-se da Poeira", --,Aspirador de Pó e Água HYLA, --,Comprar Aspirador HYLA, --,"Adeus asma, rinite e dermatite", --,"HYLA, Tecnologia Alemã!", --,Aspirador e purificador HYLA, --,Aspirador à água, --,Saúde e qualidade de vida, --,Elimine os ácaros do colchão, --,HYLA em casa, --, --,"HYLA EST DEFENDER purifica o ar, perfuma e elimina todo o pó e contaminações do ambiente.", --,"HYLA elimina ácaros, fezes de ácaros, fungos, bactérias e vírus de toda a casa.", --,"HYLA é saúde, qualidade de vida, bem-estar e conforto para toda família.", --,HYLA EST DEFENDER é o aspirador purificador de ar que usa apenas água como filtro., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Não,, --, --,,Branding - SP,Branding - São Paulo,Pesquisa,Todos os recursos,https://hyladobrasil.com.br/aspirador-hyla-do-brasil/#agendardemonstracao,,113,5.166,"2,19%",BRL,"0,50","56,89","475,00",0,"0,12","420,35%"
2026-04-27,Ativado,Anúncio responsivo de pesquisa,https://hyladobrasil.com.br/aspirador-hyla-do-brasil/#agendardemonstracao, --, --, --, --, --, --, --,HYLA do Brasil, --,HYLA Aspirador Antialérgico, --,O Melhor aspirador do mundo, --,Ar Puro e Limpeza com HYLA, --,Livre-se Das Alergias com HYLA, --,"HYLA, Livre-se da Poeira", --,Aspirador de Pó e Água HYLA, --,Comprar Aspirador HYLA, --,"Adeus asma, rinite e dermatite", --,"HYLA, Tecnologia Alemã!", --,Aspirador e purificador HYLA, --,Aspirador à água, --,Saúde e qualidade de vida, --,Elimine os ácaros do colchão, --,HYLA em casa, --, --,"HYLA EST DEFENDER purifica o ar, perfuma e elimina todo o pó e contaminações do ambiente.", --,"HYLA elimina ácaros, fezes de ácaros, fungos, bactérias e vírus de toda a casa.", --,"HYLA é saúde, qualidade de vida, bem-estar e conforto para toda família.", --,HYLA EST DEFENDER é o aspirador purificador de ar que usa apenas água como filtro., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Não,, --, --,,Branding - SP,Branding - São Paulo,Pesquisa,Todos os recursos,https://hyladobrasil.com.br/aspirador-hyla-do-brasil/#agendardemonstracao,,112,5.044,"2,22%",BRL,"0,24","26,88","406,03",0,"0,07","362,53%"
2026-05-11,Ativado,Anúncio responsivo de pesquisa,https://hyladobrasil.com.br/aspirador-hyla-do-brasil/#agendardemonstracao, --, --, --, --, --, --, --,HYLA do Brasil, --,HYLA Aspirador Antialérgico, --,O Melhor aspirador do mundo, --,Ar Puro e Limpeza com HYLA, --,Livre-se Das Alergias com HYLA, --,"HYLA, Livre-se da Poeira", --,Aspirador de Pó e Água HYLA, --,Comprar Aspirador HYLA, --,"Adeus asma, rinite e dermatite", --,"HYLA, Tecnologia Alemã!", --,Aspirador e purificador HYLA, --,Aspirador à água, --,Saúde e qualidade de vida, --,Elimine os ácaros do colchão, --,HYLA em casa, --, --,"HYLA EST DEFENDER purifica o ar, perfuma e elimina todo o pó e contaminações do ambiente.", --,"HYLA elimina ácaros, fezes de ácaros, fungos, bactérias e vírus de toda a casa.", --,"HYLA é saúde, qualidade de vida, bem-estar e conforto para toda família.", --,HYLA EST DEFENDER é o aspirador purificador de ar que usa apenas água como filtro., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Não,, --, --,,Branding - SP,Branding - São Paulo,Pesquisa,Todos os recursos,https://hyladobrasil.com.br/aspirador-hyla-do-brasil/#agendardemonstracao,,110,6.043,"1,82%",BRL,"0,40","43,61","475,64",0,"0,09","432,40%"
