# ----------------------------------------
# Páginas e telas: Caminho da página e classe da tela
# Conta: HYLA do Brasil
# Propriedade: Hyla do Brasil
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20260610
# Data de término: 20260707
Caminho da página e classe da tela,Visualizações,Usuários ativos,Visualizações por usuário ativo,Tempo médio de engajamento por usuário ativo,Contagem de eventos,Eventos principais,Receita total
/loja/acessorios/fragrancias/air-odorizer-hyla/,209,138,1.5144927536231885,25.202898550724637,30,734,0
/carrinho/,67,43,1.558139534883721,24.093023255813954,12,180,0
/minha-conta/senha-perdida/,13,8,1.625,43.25,6,53,0
/loja/equipamentos/equalizadores-de-ar/aera110p/,185,143,1.2937062937062938,27.412587412587413,4,542,0
/loja/equipamentos/equalizadores-de-ar/aera220v/,62,44,1.4090909090909092,30.818181818181817,3,176,0
/loja/equipamentos/purificadores-de-ar/,1302,884,1.4728506787330318,12.392533936651583,3,2705,0
/aspirador-hyla-do-brasil/,26770,22187,1.2065624014062288,7.226574119980168,2,112334,0
/loja/acessorios/fragrancias/lavanda/,20,15,1.3333333333333333,15.333333333333334,2,52,0
/loja/acessorios/fragrancias/limao-siciliano/,8,4,2,15,2,26,0
/loja/acessorios/bolsas-e-sacos/bolsa-vacuo-m/,37,33,1.121212121212121,10.575757575757576,1,122,0
/loja/acessorios/bolsas-e-sacos/saco-p-limpeza-a-vacuo-2m/,18,15,1.2,12.666666666666666,1,57,0
/loja/acessorios/desentupidores/desentupidor/,12,10,1.2,8.7,1,38,0
/loja/acessorios/escovas/escova-animais-cerdas-gst-nst/,5,4,1.25,8,1,17,0
/loja/acessorios/fragrancias/cashmere/,6,5,1.2,34.4,1,20,0
/loja/acessorios/fragrancias/kit-fragrancias/,8,7,1.1428571428571428,27,1,25,0
/loja/acessorios/fragrancias/madeiras-nobres/,13,10,1.3,10.9,1,44,0
/loja/acessorios/hyla-libra/,21,20,1.05,12.8,1,79,0
/loja/acessorios/magicomb/,26,24,1.0833333333333333,17.083333333333332,1,69,0
/loja/acessorios/shampoos/shampoo-dtex/,34,24,1.4166666666666667,20.375,1,110,0
/loja/acessorios/vassouras-e-rodos/nimbus/,211,176,1.1988636363636365,19.272727272727273,1,539,0
/,3444,2410,1.429045643153527,14.633609958506224,0,9624,0
/aspirador-hyla-para-hoteis/,2,2,1,5,0,7,0
/blog/,40,38,1.0526315789473684,12.868421052631579,0,109,0
/blog/alergia-em-criancas-como-proteger-sua-familia/,2,2,1,0,0,6,0
/blog/ar-poluido-dentro-de-casa-saiba-como-mudar-isso-com-hyla/,1,1,1,0,0,3,0
/blog/aspirador-hyla-higienizacao-de-colchao/,1,1,1,6,0,4,0
/blog/como-hyla-ajuda-na-limpeza-de-obras/,1,1,1,4,0,4,0
/blog/como-prevenir-a-asma-confira-5-dicas/,1,1,1,0,0,3,0
/blog/confira-nossas-dicas-para-a-prevencao-de-crises-alergicas-respiratorias/,2,2,1,0,0,6,0
/blog/conheca-os-beneficios-hyla-para-a-higienizacao-de-hoteis/,2,2,1,0,0,6,0
/blog/crises-alergicas-respiratorias-em-criancas-entenda-o-porque-se-intensificam-na-escola/,1,1,1,0,0,3,0
/blog/crises-de-alergia-respiratoria-no-verao/,1,1,1,15,0,2,0
