Públicos-alvo
1 de janeiro de 2026 - 6 de julho de 2026
Segmento de público-alvo,Estado do segmento de público-alvo,Campanha,Grupo de anúncios,Código da moeda,CPC máx. padrão do grupo de anúncios,CPC máximo do segmento de público-alvo,Aj. lance do segmento de público-alvo,Configuração de segmentação,Cliques,Impr.,CTR,CPC méd.,Custo,CPM médio
Pessoas não incluídas nos públicos-alvo,Removido,Branding - SP,Branding - São Paulo,BRL,"0,01",0, --,Observação,6.130,300.733,"2,04%","1,34","8243,15","27,41"
Estilos de vida e hobbies › Profissionais de negócios,Ativado,Branding - BR,Branding Brasil,BRL,"0,38","0,38", +25%,Observação,323,11.141,"2,90%","3,71","1197,30","107,47"
Pessoas não incluídas nos públicos-alvo,Removido,Branding - BR,Branding Brasil,BRL,"0,38",0, --,Observação,280,11.645,"2,40%","1,77","496,46","42,63"
Viagens › Aficionados por viagens › Viajantes de luxo,Ativado,Branding - BR,Branding Brasil,BRL,"0,38","0,38", +15%,Observação,17,269,"6,32%","1,91","32,48","120,75"
Alimentação › Apreciadores de culinária,Ativado,Branding - BR,Branding Brasil,BRL,"0,38","0,38", +15%,Observação,11,185,"5,95%","6,01","66,16","357,63"
Compradores › Aficionados por compras de luxo,Ativado,Branding - BR,Branding Brasil,BRL,"0,38","0,38", --,Observação,4,62,"6,45%","3,23","12,92","208,39"
Casa e jardim › Entusiastas de decoração de interiores,Ativado,Branding - BR,Branding Brasil,BRL,"0,38","0,38", --,Observação,4,96,"4,17%","2,31","9,23","96,15"
Serviços financeiros › Serviços de investimento,Ativado,Branding - BR,Branding Brasil,BRL,"0,38","0,38", --,Observação,3,20,"15,00%","0,96","2,89","144,50"
Bancos e finanças › Investidores ávidos,Ativado,Branding - BR,Branding Brasil,BRL,"0,38","0,38", --,Observação,3,78,"3,85%","1,93","5,79","74,25"
Tecnologia › Tecnófilos › Audiófilos,Ativado,Branding - BR,Branding Brasil,BRL,"0,38","0,38", +15%,Observação,3,41,"7,32%","1,71","5,14","125,37"
Estado civil › Casado,Ativado,Branding - BR,Branding Brasil,BRL,"0,38","0,38", --,Observação,3,214,"1,40%","1,51","4,53","21,17"
Aparelhos eletrônicos para consumidores › Sistemas de home theater,Ativado,Branding - BR,Branding Brasil,BRL,"0,38","0,38", --,Observação,2,4,"50,00%","1,01","2,02","505,00"
Viagens,Ativado,Branding - BR,Branding Brasil,BRL,"0,38","0,38", --,Observação,2,63,"3,17%","0,81","1,62","25,71"
