Relatório de insights sobre termos de pesquisa
1 de janeiro de 2026 - 7 de julho de 2026
Categoria de pesquisa,Subcategoria de pesquisa,Termos de pesquisa,Impressões,Cliques,Conversões,Valor conv.,CTR,Taxa de conv.,Volume de pesquisa
maquinas,Subcategoria: total, --,27,1,"0,00","0,00","3,70%","0,00%",100.000 - 1.000.000
maquinas,Termos de pesquisa sem classificação, --,0,0,"0,00","0,00","0,00%","0,00%", --
maquinas,Termos de pesquisa sem classificação,maquinas,21,1,"0,00","0,00","4,76%","0,00%", --
maquinas,Termos de pesquisa sem classificação,máquinas,6,0,"0,00","0,00","0,00%","0,00%", --
papa bolinhas eletrico profissional,Subcategoria: total, --,526,5,"0,00","0,00","0,95%","0,00%",10.000 - 100.000
papa bolinhas eletrico profissional,Termos de pesquisa sem classificação, --,0,0,"0,00","0,00","0,00%","0,00%", --
papa bolinhas eletrico profissional,Termos de pesquisa sem classificação,papa bolinhas eletrico profissional,19,2,"0,00","0,00","10,53%","0,00%", --
papa bolinhas eletrico profissional,Termos de pesquisa sem classificação,papa bolinha eletrico,172,2,"0,00","0,00","1,16%","0,00%", --
papa bolinhas eletrico profissional,Termos de pesquisa sem classificação,papa bolinhas eletrico,143,1,"0,00","0,00","0,70%","0,00%", --
papa bolinhas eletrico profissional,Termos de pesquisa sem classificação,papa bolas de roupas elétrico profissional,15,0,"0,00","0,00","0,00%","0,00%", --
papa bolinhas eletrico profissional,Termos de pesquisa sem classificação,papa bolinha de roupa eletrico,2,0,"0,00","0,00","0,00%","0,00%", --
papa bolinhas eletrico profissional,Termos de pesquisa sem classificação,papa bolinha de tomada,4,0,"0,00","0,00","0,00%","0,00%", --
papa bolinhas eletrico profissional,Termos de pesquisa sem classificação,papa bolinha eletrico profissional,61,0,"0,00","0,00","0,00%","0,00%", --
papa bolinhas eletrico profissional,Termos de pesquisa sem classificação,papa bolinha elétrico,13,0,"0,00","0,00","0,00%","0,00%", --
papa bolinhas eletrico profissional,Termos de pesquisa sem classificação,papa bolinha elétrico profissional,27,0,"0,00","0,00","0,00%","0,00%", --
papa bolinhas eletrico profissional,Termos de pesquisa sem classificação,papa bolinha profissional eletrico,5,0,"0,00","0,00","0,00%","0,00%", --
papa bolinhas eletrico profissional,Termos de pesquisa sem classificação,papa bolinha tomada,2,0,"0,00","0,00","0,00%","0,00%", --
papa bolinhas eletrico profissional,Termos de pesquisa sem classificação,papa bolinhas de tomada,2,0,"0,00","0,00","0,00%","0,00%", --
papa bolinhas eletrico profissional,Termos de pesquisa sem classificação,papa bolinhas elétrica,1,0,"0,00","0,00","0,00%","0,00%", --
papa bolinhas eletrico profissional,Termos de pesquisa sem classificação,papa bolinhas elétrico,21,0,"0,00","0,00","0,00%","0,00%", --
papa bolinhas eletrico profissional,Termos de pesquisa sem classificação,papa bolinhas tomada,2,0,"0,00","0,00","0,00%","0,00%", --
papa bolinhas eletrico profissional,Termos de pesquisa sem classificação,papa pelo eletrico,3,0,"0,00","0,00","0,00%","0,00%", --
papa bolinhas eletrico profissional,Termos de pesquisa sem classificação,removedor de bolinhas eletrico,2,0,"0,00","0,00","0,00%","0,00%", --
papa bolinhas eletrico profissional,Termos de pesquisa sem classificação,removedor de bolinhas elétrico,1,0,"0,00","0,00","0,00%","0,00%", --
papa bolinhas eletrico profissional,Termos de pesquisa sem classificação,tira bolinha eletrico,1,0,"0,00","0,00","0,00%","0,00%", --
papa bolinhas eletrico profissional,Termos de pesquisa sem classificação,tira bolinha profissional,18,0,"0,00","0,00","0,00%","0,00%", --
papa bolinhas eletrico profissional,Termos de pesquisa sem classificação,tira bolinhas eletrico,6,0,"0,00","0,00","0,00%","0,00%", --
como desinfetar colchão usado,Subcategoria: total, --,1,0,"0,00","0,00","0,00%","0,00%",100 - 1.000
como desinfetar colchão usado,Termos de pesquisa sem classificação, --,0,0,"0,00","0,00","0,00%","0,00%", --
como desinfetar colchão usado,Termos de pesquisa sem classificação,como higienizar colchão usado,1,0,"0,00","0,00","0,00%","0,00%", --
hyla plus,Subcategoria: total, --,668,40,"3,75","3,75","5,99%","9,38%",1.000 - 10.000
hyla plus,Termos de pesquisa sem classificação, --,0,0,"0,00","0,00","0,00%","0,00%", --
hyla plus,Termos de pesquisa sem classificação,hyla plus,194,6,"0,75","0,75","3,09%","12,50%", --
hyla plus,Termos de pesquisa sem classificação,hyla shampoo,2,1,"0,00","0,00","50,00%","0,00%", --
hyla plus,Termos de pesquisa sem classificação,hyla air and room cleaning system,27,5,"1,00","1,00","18,52%","20,00%", --
hyla plus,Termos de pesquisa sem classificação,hyla vacuum,28,3,"0,00","0,00","10,71%","0,00%", --
hyla plus,Termos de pesquisa sem classificação,vacuum hyla,3,2,"1,00","1,00","66,67%","50,00%", --
hyla plus,Termos de pesquisa sem classificação,hyla defender,20,2,"0,00","0,00","10,00%","0,00%", --
hyla plus,Termos de pesquisa sem classificação,air and room cleaning system hyla,34,3,"1,00","1,00","8,82%","33,33%", --
hyla plus,Termos de pesquisa sem classificação,hyla purifier,11,1,"0,00","0,00","9,09%","0,00%", --
hyla plus,Termos de pesquisa sem classificação,hyla vacuum cleaner,24,2,"0,00","0,00","8,33%","0,00%", --
hyla plus,Termos de pesquisa sem classificação,glider hyla,4,1,"0,00","0,00","25,00%","0,00%", --
hyla plus,Termos de pesquisa sem classificação,ebay hyla vacuum cleaner,2,0,"0,00","0,00","0,00%","0,00%", --
hyla plus,Termos de pesquisa sem classificação,hyla air purifier,14,0,"0,00","0,00","0,00%","0,00%", --
hyla plus,Termos de pesquisa sem classificação,hyla air solution,6,0,"0,00","0,00","0,00%","0,00%", --
hyla plus,Termos de pesquisa sem classificação,hyla australia,1,0,"0,00","0,00","0,00%","0,00%", --
hyla plus,Termos de pesquisa sem classificação,hyla biotech,1,0,"0,00","0,00","0,00%","0,00%", --
hyla plus,Termos de pesquisa sem classificação,hyla cleaning system,7,0,"0,00","0,00","0,00%","0,00%", --
hyla plus,Termos de pesquisa sem classificação,hyla duster,27,0,"0,00","0,00","0,00%","0,00%", --
hyla plus,Termos de pesquisa sem classificação,hyla est defender price,1,0,"0,00","0,00","0,00%","0,00%", --
hyla plus,Termos de pesquisa sem classificação,hyla faber,1,0,"0,00","0,00","0,00%","0,00%", --
hyla plus,Termos de pesquisa sem classificação,hyla glider,2,0,"0,00","0,00","0,00%","0,00%", --
