"Nome da campanha","Nome do conjunto de anúncios","Nome do anúncio",Dia,Alcance,Impressões,Moeda,"Valor usado (BRL)",Compras,"Valor de conversão da compra","Cliques no link","Adições ao carrinho",Contatos,"Finalizações de compra iniciadas",Leads,"Início dos relatórios","Encerramento dos relatórios"
"Instagram | Conversão 2026","Goiânia 26","[Vídeo] - Praticidade - Goiânia 26",2026-07-06,89,90,BRL,1.89,,,7,,,,,2026-07-06,2026-07-06
"Instagram | Conversão 2026","Goiânia 26","[Vídeo] - Trend Viral - Goiânia 26",2026-07-06,8,9,BRL,0.61,,,,,,,,2026-07-06,2026-07-06
"Instagram | Conversão 2026","Goiânia 26","[Vídeo] - Extratora HYLA — Goiânia 26",2026-07-06,1169,1239,BRL,51.6,1,,87,,,,6,2026-07-06,2026-07-06
"Instagram | Conversão 2026","[SP] BAIRROS NOBRES | SÃO PAULO & CIDADES DE SÃO PAULO","[Vídeo] Extratora HYLA — Bairros nobres SP",2026-07-06,2219,2266,BRL,68.57,2,,147,,,,7,2026-07-06,2026-07-06
"Instagram | Conversão 2026","Curitiba 26","[Vídeo] - Extratora - Curitiba 26",2026-07-06,1031,1085,BRL,38.98,1,,72,,,,2,2026-07-06,2026-07-06
"Instagram | Conversão 2026","Goiânia 26","[Vídeo] Célia Gava - Goiânia 26",2026-07-06,11,11,BRL,0.2,,,1,,,,,2026-07-06,2026-07-06
"Instagram | Conversão 2026","[SP] BAIRROS NOBRES | SÃO PAULO & CIDADES DE SÃO PAULO","[Vídeo] PRATICIDADE — Bairros Nobres SP",2026-07-06,2284,2422,BRL,38.86,4,,101,,1,,11,2026-07-06,2026-07-06
"Instagram | Conversão 2026","[SP] BAIRROS NOBRES | SÃO PAULO & CIDADES DE SÃO PAULO","[Vídeo] Trend Viral — Bairros nobres SP",2026-07-06,998,1060,BRL,41.4,1,,81,,,,13,2026-07-06,2026-07-06
"Instagram | Conversão 2026","Brasília 26","[Vídeo] Extratora HYLA - Brasília 26",2026-07-06,890,927,BRL,45.75,1,,60,,,,8,2026-07-06,2026-07-06
"Instagram | Conversão 2026","Brasília 26","[Vídeo] Célia Gava 1 M - Brasília 26",2026-07-06,134,140,BRL,5.15,,,6,,,,,2026-07-06,2026-07-06
"Instagram | Conversão 2026","Brasília 26","[Imagem] Benefícios - Brasília 26",2026-07-06,2,3,BRL,0.11,,,,,,,,2026-07-06,2026-07-06
"Instagram | Conversão 2026","[SP] BAIRROS NOBRES | SÃO PAULO & CIDADES DE SÃO PAULO","[Imagem] Saúde — Bairros nobres SP",2026-07-06,1,1,BRL,0.01,,,,,,,,2026-07-06,2026-07-06
"Instagram | Conversão 2026","Goiânia 26","[Imagem] Saúde - Goiânia 26",2026-07-06,3,15,BRL,0.26,,,,,,,,2026-07-06,2026-07-06
"Instagram | Conversão 2026","Goiânia 26","[Vídeo] - Praticidade - Goiânia 26",2026-07-05,48,51,BRL,1.02,,,7,,,,,2026-07-05,2026-07-05
