Performance por Canal de venda - 01/03/2026 até 31/07/2026,,,,
Dia,Local de Vendas,Quantidade de Vendas,Valor,Porcentagem de Vendas
02/03/2026,PARTICULAR,6,"160.823,77","85,71"
02/03/2026,LOJA VIRTUAL,1,"484,46","14,29"
03/03/2026,PARTICULAR,8,"7.493,39","88,89"
03/03/2026,MERCADO LIVRE,1,"156,31","11,11"
04/03/2026,PARTICULAR,4,"6.222,50","57,14"
04/03/2026,LOJA VIRTUAL,2,"2.130,17","28,57"
04/03/2026,MERCADO LIVRE,1,"42,56","14,29"
05/03/2026,PARTICULAR,4,"5.280,99","57,14"
05/03/2026,MERCADO LIVRE,3,"979,22","42,86"
06/03/2026,PARTICULAR,2,"3.216,90",100
07/03/2026,MERCADO LIVRE,1,"136,41",100
08/03/2026,MERCADO LIVRE,1,"42,48",100
09/03/2026,PARTICULAR,8,"13.721,01",80
09/03/2026,LOJA VIRTUAL,2,"375,62",20
10/03/2026,PARTICULAR,5,"20.273,48","71,43"
10/03/2026,MAGAZINE LUIZA,1,"584,32","14,29"
10/03/2026,MERCADO LIVRE,1,"315,00","14,29"
11/03/2026,PARTICULAR,6,"16.431,97",75
11/03/2026,MERCADO LIVRE,2,"430,90",25
12/03/2026,PARTICULAR,9,"17.349,78","69,23"
12/03/2026,MERCADO LIVRE,4,"2.035,37","30,77"
13/03/2026,PARTICULAR,5,"5.700,21",100
14/03/2026,MERCADO LIVRE,1,"149,06",100
16/03/2026,PARTICULAR,4,"5.511,71","57,14"
16/03/2026,LOJA VIRTUAL,2,"705,68","28,57"
16/03/2026,MERCADO LIVRE,1,"166,76","14,29"
17/03/2026,PARTICULAR,8,"21.265,97","57,14"
17/03/2026,LOJA VIRTUAL,3,"865,17","21,43"
17/03/2026,MERCADO LIVRE,3,"1.794,99","21,43"
18/03/2026,PARTICULAR,7,"3.504,11",100
19/03/2026,PARTICULAR,9,"9.157,75",100
20/03/2026,PARTICULAR,10,"11.329,37","90,91"
20/03/2026,LOJA VIRTUAL,1,"386,72","9,09"
21/03/2026,MERCADO LIVRE,2,"2.834,94",100
23/03/2026,PARTICULAR,5,"8.098,75","62,5"
23/03/2026,MERCADO LIVRE,2,"459,07",25
23/03/2026,LOJA VIRTUAL,1,"299,12","12,5"
24/03/2026,MERCADO LIVRE,4,"1.397,81","66,67"
24/03/2026,LOJA VIRTUAL,1,"2.087,21","16,67"
24/03/2026,PARTICULAR,1,"1.250,00","16,67"
25/03/2026,PARTICULAR,4,"6.996,90","66,67"
25/03/2026,LOJA VIRTUAL,1,"361,32","16,67"
25/03/2026,MERCADO LIVRE,1,"351,62","16,67"
26/03/2026,LOJA VIRTUAL,2,"719,65",50
26/03/2026,MAGAZINE LUIZA,1,"167,71",25
26/03/2026,PARTICULAR,1,"5.535,37",25
27/03/2026,LOJA VIRTUAL,3,"666,32","42,86"
27/03/2026,MERCADO LIVRE,2,"245,39","28,57"
27/03/2026,PARTICULAR,2,"496,89","28,57"
28/03/2026,LOJA VIRTUAL,1,"2.349,16",100
30/03/2026,PARTICULAR,4,"8.998,96",100
31/03/2026,PARTICULAR,5,"8.778,35","62,5"
31/03/2026,MERCADO LIVRE,2,"1.034,12",25
31/03/2026,MAGAZINE LUIZA,1,"175,00","12,5"
01/04/2026,PARTICULAR,3,"1.220,59",75
01/04/2026,LOJA VIRTUAL,1,"93,68",25
02/04/2026,PARTICULAR,4,"4.892,39",80
02/04/2026,LOJA VIRTUAL,1,"1.356,32",20
04/04/2026,MERCADO LIVRE,1,"61,02",100
06/04/2026,PARTICULAR,7,"12.363,76","58,33"
06/04/2026,MERCADO LIVRE,4,"1.051,45","33,33"
06/04/2026,LOJA VIRTUAL,1,"622,94","8,33"
07/04/2026,PARTICULAR,14,"15.586,45","82,35"
07/04/2026,LOJA VIRTUAL,1,"228,04","5,88"
07/04/2026,MAGAZINE LUIZA,1,"163,27","5,88"
07/04/2026,MERCADO LIVRE,1,"351,62","5,88"
08/04/2026,PARTICULAR,8,"17.831,28","72,73"
08/04/2026,LOJA VIRTUAL,2,"714,81","18,18"
08/04/2026,MERCADO LIVRE,1,"37,05","9,09"
09/04/2026,PARTICULAR,3,"7.778,55",100
10/04/2026,MERCADO LIVRE,2,"1.078,72",40
10/04/2026,PARTICULAR,2,"36.242,00",40
10/04/2026,LOJA VIRTUAL,1,"246,27",20
13/04/2026,PARTICULAR,2,"557,13",100
14/04/2026,PARTICULAR,5,"2.673,42","62,5"
14/04/2026,LOJA VIRTUAL,2,"4.048,43",25
14/04/2026,MAGAZINE LUIZA,1,"117,64","12,5"
15/04/2026,PARTICULAR,9,"16.536,64","81,82"
15/04/2026,LOJA VIRTUAL,1,"1.255,16","9,09"
15/04/2026,MAGAZINE LUIZA,1,"152,27","9,09"
16/04/2026,PARTICULAR,6,"19.988,12",75
16/04/2026,MERCADO LIVRE,2,"325,50",25
17/04/2026,PARTICULAR,4,"9.985,28","57,14"
17/04/2026,MERCADO LIVRE,2,"215,20","28,57"
17/04/2026,LOJA VIRTUAL,1,"178,76","14,29"
20/04/2026,PARTICULAR,4,"2.845,82",80
20/04/2026,LOJA VIRTUAL,1,"35,80",20
21/04/2026,MERCADO LIVRE,1,"42,04",100
22/04/2026,PARTICULAR,3,"11.753,85",60
22/04/2026,LOJA VIRTUAL,1,"1.372,14",20
22/04/2026,MAGAZINE LUIZA,1,"162,75",20
23/04/2026,PARTICULAR,6,"5.521,26","66,67"
