Performance por Canal de venda - 01/03/2026 até 31/07/2026,,,,
Dia,Local de Pedidos,Quantidade de Pedidos,Valor,Porcentagem de Pedidos
02/03/2026,PARTICULAR,6,"160.823,77",75
02/03/2026,LOJA VIRTUAL,2,"968,92",25
03/03/2026,PARTICULAR,9,"7.730,24","81,82"
03/03/2026,LOJA VIRTUAL,1,"101,76","9,09"
03/03/2026,MERCADO LIVRE,1,"156,31","9,09"
04/03/2026,PARTICULAR,6,"8.069,58","66,67"
04/03/2026,LOJA VIRTUAL,2,"2.132,17","22,22"
04/03/2026,MERCADO LIVRE,1,"42,56","11,11"
05/03/2026,PARTICULAR,4,"5.280,99","57,14"
05/03/2026,MERCADO LIVRE,3,"979,22","42,86"
06/03/2026,PARTICULAR,2,"3.216,90",100
07/03/2026,MERCADO LIVRE,1,"136,41",100
08/03/2026,MERCADO LIVRE,1,"42,48",100
09/03/2026,PARTICULAR,8,"13.450,53",80
09/03/2026,LOJA VIRTUAL,2,"375,62",20
10/03/2026,PARTICULAR,7,"40.258,74","77,78"
10/03/2026,MAGAZINE LUIZA,1,"584,32","11,11"
10/03/2026,MERCADO LIVRE,1,"315,00","11,11"
11/03/2026,PARTICULAR,6,"16.645,47",75
11/03/2026,MERCADO LIVRE,2,"430,90",25
12/03/2026,PARTICULAR,9,"19.549,78","69,23"
12/03/2026,MERCADO LIVRE,4,"2.035,37","30,77"
13/03/2026,PARTICULAR,6,"8.524,91",100
14/03/2026,MERCADO LIVRE,1,"149,06",100
16/03/2026,PARTICULAR,6,"16.646,57","66,67"
16/03/2026,LOJA VIRTUAL,2,"707,68","22,22"
16/03/2026,MERCADO LIVRE,1,"166,76","11,11"
17/03/2026,PARTICULAR,9,"21.265,97",60
17/03/2026,LOJA VIRTUAL,3,"865,17",20
17/03/2026,MERCADO LIVRE,3,"1.794,99",20
18/03/2026,PARTICULAR,9,"8.363,97",100
19/03/2026,PARTICULAR,10,"10.058,54",100
20/03/2026,PARTICULAR,10,"9.072,04","90,91"
20/03/2026,LOJA VIRTUAL,1,"386,72","9,09"
21/03/2026,MERCADO LIVRE,2,"2.834,94",100
23/03/2026,PARTICULAR,5,"7.703,01","62,5"
23/03/2026,MERCADO LIVRE,2,"459,07",25
23/03/2026,LOJA VIRTUAL,1,"299,12","12,5"
24/03/2026,MERCADO LIVRE,5,"1.805,13","71,43"
24/03/2026,LOJA VIRTUAL,1,"2.087,21","14,29"
24/03/2026,PARTICULAR,1,"1.468,43","14,29"
25/03/2026,PARTICULAR,4,"7.193,10","66,67"
25/03/2026,LOJA VIRTUAL,1,"361,32","16,67"
25/03/2026,MERCADO LIVRE,1,"351,62","16,67"
26/03/2026,PARTICULAR,3,"5.942,37",50
26/03/2026,LOJA VIRTUAL,2,"719,65","33,33"
26/03/2026,MAGAZINE LUIZA,1,"167,71","16,67"
27/03/2026,PARTICULAR,5,"37.510,17",50
27/03/2026,LOJA VIRTUAL,3,"666,32",30
27/03/2026,MERCADO LIVRE,2,"245,39",20
28/03/2026,LOJA VIRTUAL,1,"2.349,16",100
30/03/2026,PARTICULAR,4,"9.880,96",100
31/03/2026,PARTICULAR,5,"9.019,85","62,5"
31/03/2026,MERCADO LIVRE,2,"1.034,12",25
31/03/2026,MAGAZINE LUIZA,1,"292,16","12,5"
01/04/2026,PARTICULAR,3,"1.220,59",75
01/04/2026,LOJA VIRTUAL,1,"93,68",25
02/04/2026,PARTICULAR,6,"7.586,85","85,71"
02/04/2026,LOJA VIRTUAL,1,"1.356,32","14,29"
04/04/2026,MERCADO LIVRE,1,"61,02",100
06/04/2026,PARTICULAR,7,"11.439,27","58,33"
06/04/2026,MERCADO LIVRE,4,"1.051,45","33,33"
06/04/2026,LOJA VIRTUAL,1,"622,94","8,33"
07/04/2026,PARTICULAR,16,"17.781,98","84,21"
07/04/2026,LOJA VIRTUAL,1,"228,04","5,26"
07/04/2026,MAGAZINE LUIZA,1,"163,27","5,26"
07/04/2026,MERCADO LIVRE,1,"351,62","5,26"
08/04/2026,PARTICULAR,9,"18.382,81",75
08/04/2026,LOJA VIRTUAL,2,"714,81","16,67"
08/04/2026,MERCADO LIVRE,1,"37,05","8,33"
09/04/2026,PARTICULAR,5,"11.342,55",100
10/04/2026,PARTICULAR,3,"39.692,00",50
10/04/2026,MERCADO LIVRE,2,"1.078,72","33,33"
10/04/2026,LOJA VIRTUAL,1,"246,27","16,67"
13/04/2026,PARTICULAR,2,"557,13",100
14/04/2026,PARTICULAR,6,"4.948,88","66,67"
14/04/2026,LOJA VIRTUAL,2,"4.050,43","22,22"
14/04/2026,MAGAZINE LUIZA,1,"117,64","11,11"
15/04/2026,PARTICULAR,10,"17.103,44","71,43"
15/04/2026,LOJA VIRTUAL,3,"3.030,94","21,43"
15/04/2026,MAGAZINE LUIZA,1,"152,27","7,14"
16/04/2026,PARTICULAR,7,"21.555,09","77,78"
16/04/2026,MERCADO LIVRE,2,"325,50","22,22"
