Código,Nome do Produto,Referência,Preço,Quantidade,Variação 1,Variação 2
991,BICO CORTE FIBER LASER ORIGINAL RAYTOOLS SINGL DOUBL D32-H15,D32-H15,"1.000,00",31,SINGLE,"1,5"
991,BICO CORTE FIBER LASER ORIGINAL RAYTOOLS SINGL DOUBL D32-H15,D32-H15,"608,00",19,SINGLE,4
991,BICO CORTE FIBER LASER ORIGINAL RAYTOOLS SINGL DOUBL D32-H15,D32-H15,"512,00",16,SINGLE,"2,0"
991,BICO CORTE FIBER LASER ORIGINAL RAYTOOLS SINGL DOUBL D32-H15,D32-H15,"544,00",17,SINGLE,"1,2"
991,BICO CORTE FIBER LASER ORIGINAL RAYTOOLS SINGL DOUBL D32-H15,D32-H15,"320,00",10,DOUBLE,"2,5"
991,BICO CORTE FIBER LASER ORIGINAL RAYTOOLS SINGL DOUBL D32-H15,D32-H15,"1.056,00",33,DOUBLE,"3,0"
991,BICO CORTE FIBER LASER ORIGINAL RAYTOOLS SINGL DOUBL D32-H15,D32-H15,"256,00",8,DOUBLE,4
991,BICO CORTE FIBER LASER ORIGINAL RAYTOOLS SINGL DOUBL D32-H15,D32-H15,"160,00",5,DOUBLE,"1,0"
991,BICO CORTE FIBER LASER ORIGINAL RAYTOOLS SINGL DOUBL D32-H15,D32-H15,"288,00",9,SINGLE,1
991,BICO CORTE FIBER LASER ORIGINAL RAYTOOLS SINGL DOUBL D32-H15,D32-H15,"2.016,00",63,DOUBLE,"1,2"
991,BICO CORTE FIBER LASER ORIGINAL RAYTOOLS SINGL DOUBL D32-H15,D32-H15,"384,00",12,SINGLE,"2,5"
991,BICO CORTE FIBER LASER ORIGINAL RAYTOOLS SINGL DOUBL D32-H15,D32-H15,"192,00",6,SINGLE,"3,0"
991,BICO CORTE FIBER LASER ORIGINAL RAYTOOLS SINGL DOUBL D32-H15,D32-H15,"32,00",1,SINGLE,5
991,BICO CORTE FIBER LASER ORIGINAL RAYTOOLS SINGL DOUBL D32-H15,D32-H15,"736,00",23,DOUBLE,"1,5"
991,BICO CORTE FIBER LASER ORIGINAL RAYTOOLS SINGL DOUBL D32-H15,D32-H15,"544,00",17,DOUBLE,"2,0"
991,BICO CORTE FIBER LASER ORIGINAL RAYTOOLS SINGL DOUBL D32-H15,D32-H15,"32,00",1,DOUBLE,5
366,ADITIVO LASER SCRIPTOR METAL EM SPRAY GRAVAÇÃO CO2,ML-LS01,"16.951,45",87,,
979,LENTES AMERICANAS (II-VI) 20MM,7899765432155,"7.888,30",26,"63,5",
979,LENTES AMERICANAS (II-VI) 20MM,7899765432155,"14.434,90",48,"50,8",
979,LENTES AMERICANAS (II-VI) 20MM,7899765432155,"3.475,50",10,"100,1",
1001,SERVIÇO TÉCNICO,,"22.297,20",39,,
1272,BICO CORTE FIBER LASER ORIGINAL RAYTOOLS SINGL DOUBL D28M 11,Raytools,"32,00",1,SINGLE,6
1272,BICO CORTE FIBER LASER ORIGINAL RAYTOOLS SINGL DOUBL D28M 11,Raytools,"384,00",12,SINGLE,1
