# ----------------------------------------
# Aquisição de tráfego: Grupo principal de canais da sessão (Agrupamento de canais padrão)
# Conta: Mercado Laser
# Propriedade: E-commerce - Mercado Laser
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20260601
# Data de término: 20260730
Grupo principal de canais da sessão (Agrupamento de canais padrão),Sessões,Sessões engajadas,Taxa de engajamento,Tempo médio de engajamento por sessão,Eventos por sessão,Contagem de eventos,Eventos principais,Taxa de eventos principais da sessão,Receita total
Organic Search,3716,2179,0.5863832077502691,41.466899892357375,6.33799784714747,23552,115,0.00968783638320775,18315.499997
Paid Search,2845,1240,0.4358523725834798,25.338137082601055,5.230931458699473,14882,21,0.003866432337434095,7136.140001
Paid Video,1915,470,0.2454308093994778,15.394778067885117,3.623498694516971,6939,0,0,0
Display,1594,745,0.46737766624843163,18.102258469259723,5.007528230865747,7982,2,0.0012547051442910915,0
Direct,1313,601,0.45773038842345776,41.03808073115004,7.3351104341203355,9631,158,0.04493526275704494,40186.230005
Cross-network,279,74,0.26523297491039427,22.025089605734767,4.376344086021505,1221,0,0,0
Unassigned,259,1,0.003861003861003861,31.247104247104247,3.0154440154440154,781,7,0.019305019305019305,631.409998
AI Assistant,113,59,0.5221238938053098,33.769911504424776,5.946902654867257,672,3,0.008849557522123894,0
Referral,90,57,0.6333333333333333,77.06666666666666,10.9,981,14,0.06666666666666667,35140.660001
Organic Social,21,14,0.6666666666666666,14.285714285714286,5.0476190476190474,106,3,0.047619047619047616,1427.500002
Paid Social,14,0,0,0,3.142857142857143,44,0,0,0
Organic Video,11,4,0.36363636363636365,37,5,55,0,0,0
