Informações do leilão - pesquisa
3 de março de 2026 - 28 de julho de 2026
Dia,Domínio do URL de visualização,Parcela de impressões da pesquisa (Informações do leilão),Taxa de sobreposição da pesquisa,Taxa de posição superior,Taxa da parte superior da página,Taxa da 1ª posição na página,Parcela de superação da pesquisa
2026-03-10,Você,"15,08%", --, --,"89,78%","66,07%", --
2026-03-11,Você,"17,58%", --, --,"83,95%","31,42%", --
2026-03-12,Você,"16,63%", --, --,"81,26%","26,45%", --
2026-03-13,Você,"15,99%", --, --,"81,16%","27,81%", --
2026-03-14,Você,< 10%, --, --,"84,05%","33,02%", --
2026-03-15,Você,< 10%, --, --,"85,71%","14,29%", --
2026-03-16,Você,"33,33%", --, --,"100,00%","0,00%", --
2026-03-25,Você,"21,24%", --, --,"85,86%","43,21%", --
2026-03-26,Você,"16,51%", --, --,"83,06%","35,08%", --
2026-03-27,Você,"16,41%", --, --,"85,30%","39,85%", --
2026-03-28,Você,"50,00%", --, --,"100,00%","0,00%", --
2026-03-29,Você,"33,33%", --, --,"100,00%","0,00%", --
2026-03-30,Você,"46,15%", --, --,"100,00%","33,33%", --
2026-04-01,Você,"11,11%", --, --,"100,00%","100,00%", --
2026-04-12,Você,"14,94%", --, --,"89,66%","40,75%", --
2026-04-13,Você,< 10%, --, --,"83,03%","30,95%", --
2026-04-14,Você,< 10%, --, --,"85,73%","36,08%", --
2026-04-18,Você,< 10%, --, --,"78,23%","18,18%", --
2026-04-19,Você,< 10%, --, --,"82,06%","17,29%", --
2026-04-20,Você,< 10%, --, --,"83,31%","31,00%", --
2026-04-21,Você,< 10%, --, --,"85,10%","38,44%", --
2026-05-16,Você,"14,29%", --, --,"100,00%","100,00%", --
2026-05-17,Você,"100,00%", --, --,"100,00%","50,00%", --
2026-05-18,Você,"33,33%", --, --,"100,00%","0,00%", --
2026-05-21,Você,< 10%, --, --,"77,46%","22,62%", --
2026-05-22,Você,"17,23%", --, --,"81,58%","30,68%", --
2026-05-23,Você,"19,88%", --, --,"79,74%","33,04%", --
2026-05-24,Você,"10,64%", --, --,"80,00%","20,00%", --
2026-05-25,Você,< 10%, --, --,"100,00%","25,00%", --
2026-05-27,Você,"11,11%", --, --,"100,00%","25,00%", --
2026-05-28,Você,"66,67%", --, --,"100,00%","50,00%", --
2026-05-30,Você,"33,33%", --, --,"100,00%","0,00%", --
