Palavra-chave de pesquisa
3 de março de 2026 - 28 de julho de 2026
Dia,Pesquisar palavra-chave,Status da palavra-chave da rede de pesquisa,Motivos do status da palavra-chave da rede de pesquisa,Pesquisar tipo de correspondência de palavra-chave,Campanha,Grupo de anúncios,Código da moeda,CPC máx. da palavra-chave,Cliques,Impr.,CTR,CPC méd.,Custo,% de impr. (1ª posição),% de impr. (parte sup.),Conversões,Conv. de visualização,Custo / conv.,Taxa de conv.
2026-05-22,empresa maquina laser,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",362,1.484,"24,39%","0,52","187,51","37,80%","84,69%","0,00",0,0,"0,00%"
2026-03-26,Maquina corte laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",298,4.243,"7,02%","1,03","306,07","31,82%","82,00%","0,00",0,0,"0,00%"
2026-04-13,cnc zumaq,Limitado,baixa qualidade,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",182,1.037,"17,55%","0,36","65,64",0,0,"0,00",0,0,"0,00%"
2026-03-26,serviço de corte a laser metal,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",176,1.122,"15,69%","0,84","147,34","36,56%","88,17%","0,00",0,0,"0,00%"
2026-05-22,Maquina corte laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",151,2.922,"5,17%","1,71","258,55","27,78%","79,74%","0,00",0,0,"0,00%"
2026-03-25,Maquina corte laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",148,2.771,"5,34%","2,14","316,29","40,63%","85,98%","0,00",0,0,"0,00%"
2026-07-25,empresa maquina laser,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",138,1.244,"11,09%","0,42","57,91","14,29%","42,86%","0,00",0,0,"0,00%"
2026-03-25,tubo laser yongli,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",114,1.198,"9,52%","2,13","242,59","45,06%","83,79%","0,00",0,0,"0,00%"
2026-04-18,empresa maquina laser,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",87,608,"14,31%","0,32","27,59","0,00%","100,00%","0,00",0,0,"0,00%"
2026-03-12,Maquina corte laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",85,2.461,"3,45%","1,54","130,80","22,06%","79,48%","0,00",0,0,"0,00%"
2026-07-23,empresa maquina laser,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",84,1.130,"7,43%","0,40","33,99","17,95%","61,54%","0,00",0,0,"0,00%"
2026-03-13,Maquina corte laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",79,1.957,"4,04%","1,58","125,15","22,50%","79,25%","0,00",0,0,"0,00%"
2026-07-26,empresa maquina laser,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",68,504,"13,49%","0,40","27,27","20,00%","66,67%","0,00",0,0,"0,00%"
2026-04-12,Maquina corte laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",67,1.295,"5,17%","1,33","89,35","29,27%","88,29%","0,00",0,0,"0,00%"
2026-05-21,Maquina corte laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",66,1.616,"4,08%","1,27","84,02","22,40%","76,38%","0,00",0,0,"0,00%"
2026-06-25,Maquina corte laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",59,1.969,"3,00%","1,05","61,95","18,75%","62,25%","0,00",0,0,"0,00%"
