Palavra-chave de pesquisa
3 de março de 2026 - 28 de julho de 2026
Pesquisar palavra-chave,Status da palavra-chave da rede de pesquisa,Motivos do status da palavra-chave da rede de pesquisa,Pesquisar tipo de correspondência de palavra-chave,Campanha,Grupo de anúncios,Código da moeda,CPC máx. da palavra-chave,Cliques,Impr.,CTR,CPC méd.,Custo,% de impr. (1ª posição),% de impr. (parte sup.),Conversões,Conv. de visualização,Custo / conv.,Taxa de conv.
Maquina corte laser,Qualificado, --,Correspondência ampla,MAQUINAS,Grupo de anúncios 1,BRL,"0,01",1.830,46.286,"3,95%","1,27","2317,11","23,41%","75,22%","0,00",0,0,"0,00%"
empresa maquina laser,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",1.095,9.215,"11,88%","0,53","584,72","25,19%","71,69%","0,00",0,0,"0,00%"
maquina de corte laser cnc,Qualificado, --,Correspondência ampla,01 [V4] SEACH_MAQUINA,Máquina de corte a laser,BRL,"0,01",401,16.935,"2,37%","0,52","207,74","7,57%","45,88%","1,00",0,"207,74","0,25%"
maquina de corte laser mdf,Qualificado, --,Correspondência ampla,01 [V4] SEACH_MAQUINA,Máquina de Corte MDF/Acrílico/Tecido,BRL,"0,01",363,10.388,"3,49%","0,51","185,06","7,04%","49,88%","0,00",0,0,"0,00%"
mercado laser,Qualificado, --,Correspondência de frase,PEÇAS,Grupo de anúncios 1,BRL,"0,01",350,621,"56,36%","0,51","177,38","76,64%","95,99%","0,00",0,0,"0,00%"
serviço de corte a laser metal,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",325,2.626,"12,38%","0,82","265,31","22,25%","73,99%","0,00",0,0,"0,00%"
laser 130w,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",315,4.515,"6,98%","1,40","442,32","26,69%","73,93%","0,00",0,0,"0,00%"
maquina de solda a laser industrial,Qualificado, --,Correspondência de frase,04 [V4] SEACH_INDUSTRIAL,Industrial,BRL,"0,01",273,1.489,"18,33%","0,63","173,34","18,58%","62,30%","0,00",0,0,"0,00%"
cnc zumaq,Limitado,baixa qualidade,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",227,1.349,"16,83%","0,42","96,12","35,85%","90,57%","0,00",0,0,"0,00%"
empresas corte laser,Qualificado, --,Correspondência ampla,PEÇAS,Grupo de anúncios 1,BRL,"0,01",196,1.374,"14,26%","0,74","145,19","31,92%","85,92%","0,00",0,0,"0,00%"
