STD Report
3 de março de 2026 - 28 de julho de 2026
Dia,Campanha,Grupo de anúncios,Impr.,Cliques,CTR,Código da moeda,Custo,Conversões
2026-03-10,MAQUINAS,Grupo de anúncios 1,436,26,"5,96%",BRL,"195,55","0,00"
2026-03-10,PEÇAS,Grupo de anúncios 1,365,26,"7,12%",BRL,"196,46","0,00"
2026-03-11,MAQUINAS,Grupo de anúncios 1,2.089,85,"4,07%",BRL,"164,14","0,00"
2026-03-11,PEÇAS,Grupo de anúncios 1,602,46,"7,64%",BRL,"165,80","0,00"
2026-03-12,MAQUINAS,Grupo de anúncios 1,3.456,119,"3,44%",BRL,"181,89","0,00"
2026-03-12,PEÇAS,Grupo de anúncios 1,1.337,94,"7,03%",BRL,"178,79","0,00"
2026-03-13,MAQUINAS,Grupo de anúncios 1,2.792,115,"4,12%",BRL,"178,48","0,00"
2026-03-13,PEÇAS,Grupo de anúncios 1,1.561,104,"6,66%",BRL,"181,59","0,00"
2026-03-14,MAQUINAS,Grupo de anúncios 1,379,20,"5,28%",BRL,"27,32","0,00"
2026-03-14,PEÇAS,Grupo de anúncios 1,418,15,"3,59%",BRL,"28,96","0,00"
2026-03-15,MAQUINAS,Grupo de anúncios 1,7,1,"14,29%",BRL,"1,08","0,00"
2026-03-15,PEÇAS,Grupo de anúncios 1,2,1,"50,00%",BRL,"0,02","0,00"
2026-03-16,PEÇAS,Grupo de anúncios 1,1,1,"100,00%",BRL,"0,01","0,00"
2026-03-25,MAQUINAS,Grupo de anúncios 1,3.107,170,"5,47%",BRL,"359,76","0,00"
2026-03-25,PEÇAS,Grupo de anúncios 1,1.666,148,"8,88%",BRL,"316,25","0,00"
2026-03-26,MAQUINAS,Grupo de anúncios 1,4.749,343,"7,22%",BRL,"361,05","0,00"
2026-03-26,PEÇAS,Grupo de anúncios 1,2.808,361,"12,86%",BRL,"359,82","0,00"
2026-03-27,MAQUINAS,Grupo de anúncios 1,335,25,"7,46%",BRL,"33,16","0,00"
2026-03-27,PEÇAS,Grupo de anúncios 1,709,70,"9,87%",BRL,"71,03","0,00"
2026-03-28,MAQUINAS,Grupo de anúncios 1,1,1,"100,00%",BRL,"0,01","0,00"
2026-03-29,MAQUINAS,Grupo de anúncios 1,1,0,"0,00%",BRL,"0,00","0,00"
2026-03-30,MAQUINAS,Grupo de anúncios 1,5,1,"20,00%",BRL,"0,00","0,00"
2026-03-30,PEÇAS,Grupo de anúncios 1,1,0,"0,00%",BRL,"0,00","0,00"
2026-04-01,PEÇAS,Grupo de anúncios 1,1,1,"100,00%",BRL,"0,01","0,00"
2026-04-12,MAQUINAS,Grupo de anúncios 1,2.647,192,"7,25%",BRL,"145,59","0,00"
2026-04-12,PEÇAS,Grupo de anúncios 1,2.553,208,"8,15%",BRL,"202,15","0,00"
2026-04-13,MAQUINAS,Grupo de anúncios 1,4.742,288,"6,07%",BRL,"145,96","0,00"
2026-04-13,PEÇAS,Grupo de anúncios 1,5.939,464,"7,81%",BRL,"356,37","0,00"
2026-04-14,MAQUINAS,Grupo de anúncios 1,3.137,180,"5,74%",BRL,"141,93","0,00"
2026-04-14,PEÇAS,Grupo de anúncios 1,2.043,196,"9,59%",BRL,"202,10","0,00"
2026-04-15,MAQUINAS,Grupo de anúncios 1,11,0,"0,00%",BRL,"0,00","0,00"
2026-04-15,PEÇAS,Grupo de anúncios 1,21,2,"9,52%",BRL,"0,34","0,00"
2026-04-16,MAQUINAS,Grupo de anúncios 1,50,4,"8,00%",BRL,"0,66","0,00"
2026-04-16,PEÇAS,Grupo de anúncios 1,120,10,"8,33%",BRL,"2,71","0,00"
2026-04-17,MAQUINAS,Grupo de anúncios 1,2.567,190,"7,40%",BRL,"114,72","0,00"
2026-04-17,PEÇAS,Grupo de anúncios 1,1.922,190,"9,89%",BRL,"125,51","0,00"
2026-04-18,MAQUINAS,Grupo de anúncios 1,2.860,226,"7,90%",BRL,"138,51","0,00"
2026-04-18,PEÇAS,Grupo de anúncios 1,2.299,247,"10,74%",BRL,"144,32","0,00"
2026-04-19,MAQUINAS,Grupo de anúncios 1,3.013,210,"6,97%",BRL,"126,20","0,00"
2026-04-19,PEÇAS,Grupo de anúncios 1,1.963,167,"8,51%",BRL,"119,62","0,00"
2026-04-20,MAQUINAS,Grupo de anúncios 1,2.689,184,"6,84%",BRL,"112,64","0,00"
2026-04-20,PEÇAS,Grupo de anúncios 1,3.659,258,"7,05%",BRL,"257,82","0,00"
2026-04-21,MAQUINAS,Grupo de anúncios 1,2.675,173,"6,47%",BRL,"124,36","0,00"
2026-04-21,PEÇAS,Grupo de anúncios 1,2.673,196,"7,33%",BRL,"254,92","0,00"
2026-04-23,MAQUINAS,Grupo de anúncios 1,41,1,"2,44%",BRL,"0,17","0,00"
2026-04-23,PEÇAS,Grupo de anúncios 1,29,2,"6,90%",BRL,"0,68","0,00"
2026-05-16,MAQUINAS,Grupo de anúncios 1,7,3,"42,86%",BRL,"0,33","0,00"
2026-05-16,PEÇAS,Grupo de anúncios 1,7,2,"28,57%",BRL,"1,91","0,00"
2026-05-17,MAQUINAS,Grupo de anúncios 1,1,0,"0,00%",BRL,"0,00","0,00"
