# ----------------------------------------
# E-commerce - Mercado Laser
# Exploração sem título-Formato livre 1
# 20260601-20260730
# ----------------------------------------

Grupo de canais padrão da sessão,Origem da sessão,Campanha da sessão,Nome do grupo de anúncios do Google Ads atribuído a essa sessão,Texto da palavra-chave do Google Ads atribuída a essa sessão,Visualizações,Visualizações por sessão,Visualizações por usuário ativo,Sessões,Sessões engajadas,Usuários ativos,Total de usuários
,,,,,19463,1.609310401852158,1.963183377042566,12094,5502,9914,9927,Total geral
Organic Search,google,(organic),(not set),(not set),5815,1.5853326063249726,2.060595322466336,3668,2130,2822,2827
Direct,(direct),(direct),(not set),(not set),2875,2.1896420411271897,3.0814576634512325,1313,601,933,935
Display,google,PEÇAS,(not set),(not set),857,1.4427609427609427,1.5035087719298246,594,299,570,571
Paid Video,google,01 [V4] SEACH_MAQUINA,(not set),(not set),800,1.2213740458015268,1.3289036544850499,655,145,602,604
Paid Video,google,04 [V4] SEACH_INDUSTRIAL,(not set),(not set),734,1.2152317880794703,1.3225225225225226,604,152,555,559
Display,google,MAQUINAS,(not set),(not set),687,1.6514423076923077,1.9136490250696379,416,190,359,361
Paid Video,google,MAQUINAS,(not set),(not set),637,1.14568345323741,1.2894736842105263,556,143,494,495
Paid Search,google,PEÇAS,Grupo de anúncios 1,empresa maquina laser,607,1.4697336561743342,1.5890052356020943,413,139,382,385
Paid Search,google,PEÇAS,Grupo de anúncios 1,mercado laser,578,3.1243243243243244,5.351851851851852,185,138,108,109
Paid Search,google,MAQUINAS,Grupo de anúncios 1,Maquina corte laser,442,1.5673758865248226,1.6870229007633588,282,136,262,269
Cross-network,(data not available),(cross-network),(not set),(not set),429,1.5376344086021505,1.5487364620938628,279,74,277,279
Paid Search,google,01 [V4] SEACH_MAQUINA,Máquina de corte a laser,maquina de corte laser cnc,423,1.7336065573770492,1.9583333333333333,244,93,216,217
Display,google,01 [V4] SEACH_MAQUINA,(not set),(not set),405,1.3366336633663367,1.4781021897810218,303,116,274,276
Paid Search,google,04 [V4] SEACH_INDUSTRIAL,Industrial,maquina de solda a laser industrial,392,1.5135135135135136,1.568,259,134,250,253
Paid Search,google,01 [V4] SEACH_MAQUINA,Máquina de Corte MDF/Acrílico/Tecido,maquina de corte laser mdf,250,1.3368983957219251,1.4880952380952381,187,74,168,170
Display,google,03 [V4] SEACH_PEÇAS,(not set),(not set),237,1.427710843373494,1.5,166,80,158,158
Unassigned,(not set),(not set),(not set),(not set),206,0.7953667953667953,0.911504424778761,259,0,226,240
Paid Search,google,PEÇAS,Grupo de anúncios 1,laser 130w,200,1.7699115044247788,1.9047619047619047,113,67,105,107
Paid Search,google,03 [V4] SEACH_PEÇAS,Peças,acessorios para maquina laser,195,1.8396226415094339,3.046875,106,51,64,67
AI Assistant,chatgpt.com,(ai-assistant),(not set),(not set),187,1.7314814814814814,1.9893617021276595,108,54,94,94
Display,google,04 [V4] SEACH_INDUSTRIAL,(not set),(not set),166,1.5660377358490567,1.66,106,58,100,101
Paid Search,google,01 [V4] SEACH_MAQUINA,(not set),(not set),166,1.099337748344371,1.1857142857142857,151,21,140,141
Paid Search,google,(organic),(not set),(not set),143,2.69811320754717,3.25,53,30,44,44
Paid Video,google,03 [V4] SEACH_PEÇAS,(not set),(not set),140,1.2962962962962963,1.4,108,31,100,101
Paid Search,google,01 [V4] SEACH_MAQUINA,Máquina de gravação a laser,maquina de gravacao a laser,121,1.1415094339622642,1.315217391304348,106,41,92,92
Paid Search,google,04 [V4] SEACH_INDUSTRIAL,Industrial,maquina de corte a laser industrial,115,1.5972222222222223,1.6911764705882353,72,37,68,68
Organic Search,bing,(organic),(not set),(not set),112,1.9310344827586208,2.731707317073171,58,36,41,41
Referral,easycheckout.tray.com.br,(referral),(not set),(not set),110,7.333333333333333,27.5,15,8,4,4
Referral,flow.page,(referral),(not set),(not set),108,2.918918918918919,3,37,29,36,36
Paid Search,google,MAQUINAS,Grupo de anúncios 1,Mercado laser,106,3.4193548387096775,6.625,31,21,16,18
Paid Search,google,01 [V4] SEACH_MAQUINA,Máquina de corte a laser,maquina de corte a laser,96,1.476923076923077,1.5238095238095237,65,27,63,63
Paid Search,google,MAQUINAS,(not set),(not set),93,1.1204819277108433,1.2236842105263157,83,11,76,76
Referral,l.wl.co,(referral),(not set),(not set),87,3.9545454545454546,9.666666666666666,22,13,9,10
Paid Search,google,PEÇAS,Grupo de anúncios 1,tubo laser 100w,83,2.59375,3.772727272727273,32,16,22,23
Paid Search,google,MAQUINAS,Grupo de anúncios 1,Maquina fiber laser,74,1.48,1.574468085106383,50,28,47,49
Paid Search,google,PEÇAS,Grupo de anúncios 1,máquina de gravar a laser em metal,68,2.2666666666666666,2.72,30,19,25,25
Paid Search,google,04 [V4] SEACH_INDUSTRIAL,Industrial,maquina de limpeza a laser,64,1.1228070175438596,1.1636363636363636,57,21,55,55
Paid Search,google,PEÇAS,Grupo de anúncios 1,central do laser,52,2.260869565217391,2.736842105263158,23,16,19,21
Paid Search,google,03 [V4] SEACH_PEÇAS,Peças,tubo laser co2,50,2.1739130434782608,2.9411764705882355,23,13,17,17
Paid Search,google,PEÇAS,Grupo de anúncios 1,serviço de corte a laser metal,50,1.4285714285714286,1.6666666666666667,35,16,30,31
Paid Search,google,01 [V4] SEACH_MAQUINA,Máquina de corte a laser,maquina de corte a laser profissional,49,1.5806451612903225,1.6333333333333333,31,17,30,30
Paid Search,google,MAQUINAS,Grupo de anúncios 1,Maquina de corte a laser,48,1.6,1.6551724137931034,30,10,29,29
Paid Search,google,(referral),(not set),(not set),45,1.25,1.2857142857142858,36,14,35,35
Paid Search,google,(not set),(not set),(not set),36,1.3333333333333333,1.565217391304348,27,6,23,23
Paid Search,google,01 [V4] SEACH_MAQUINA,Máquina de corte a laser,comprar maquina de corte a laser,36,1.3333333333333333,1.3333333333333333,27,9,27,27
Organic Search,br.search.yahoo.com,(referral),(not set),(not set),34,2.6153846153846154,3.7777777777777777,13,11,9,9
Paid Search,google,04 [V4] SEACH_INDUSTRIAL,(not set),(not set),30,1.25,3.3333333333333335,24,2,9,10
Display,google,02 [V4] SEACH_OPORTUNIDADE DE RENDA,(not set),(not set),24,3.4285714285714284,3.4285714285714284,7,1,7,7
Paid Search,google,MAQUINAS,Grupo de anúncios 1,Maquina corte a laser,18,1.3846153846153846,1.3846153846153846,13,5,13,13
Organic Video,youtube.com,(referral),(not set),(not set),17,1.5454545454545454,2.8333333333333335,11,4,6,6
Paid Social,ig,120247107422830630,(not set),(not set),14,1,1,14,0,14,14
Paid Search,google,MAQUINAS,Grupo de anúncios 1,Maquina uv,11,1.1,1.2222222222222223,10,3,9,9
Organic Social,facebook.com,(referral),(not set),(not set),10,1,1,10,7,10,10
Paid Search,google,01 [V4] SEACH_MAQUINA,Máquina de Corte MDF/Acrílico/Tecido,maquina de corte laser acrilico,10,2.5,2.5,4,4,4,4
Organic Social,l.facebook.com,(referral),(not set),(not set),9,1.5,2.25,6,5,4,4
Paid Search,google,03 [V4] SEACH_PEÇAS,Peças,lentes para maquina laser,9,1.5,1.5,6,4,6,6
Paid Search,google,PEÇAS,Grupo de anúncios 1,lente co2,9,2.25,2.25,4,2,4,4
Paid Search,google,03 [V4] SEACH_PEÇAS,Peças,espelho maquina laser,7,1.4,1.4,5,3,5,5
Paid Search,google,PEÇAS,Grupo de anúncios 1,corte em acrilico a laser,6,3,3,2,2,2,2
Referral,tagassistant.google.com,(referral),(not set),(not set),6,1.5,6,4,1,1,1
AI Assistant,gemini.google.com,(ai-assistant),(not set),(not set),5,1.25,1.25,4,4,4,4
Paid Search,google,MAQUINAS,Grupo de anúncios 1,Maquina de corte acrilico,5,1,1,5,3,5,5
