# ----------------------------------------
# E-commerce - Mercado Laser
# Exploração sem título-Formato livre 1
# 20260601-20260730
# ----------------------------------------

Data,Grupo de canais padrão da sessão,Origem da sessão,Campanha da sessão,Nome do grupo de anúncios do Google Ads atribuído a essa sessão,Visualizações,Visualizações por sessão,Visualizações por usuário ativo,Sessões,Sessões engajadas,Usuários ativos,Total de usuários
,,,,,19465,1.6094757731106333,1.9633851119628807,12094,5502,9914,9927,Total geral
20260717,Organic Search,google,(organic),(not set),328,2.4296296296296296,2.6885245901639343,135,84,122,122
20260728,Organic Search,google,(organic),(not set),314,1.679144385026738,2.052287581699346,187,117,153,156
20260720,Organic Search,google,(organic),(not set),306,1.7094972067039107,2.0675675675675675,179,118,148,154
20260729,Organic Search,google,(organic),(not set),299,1.6162162162162161,2.047945205479452,185,104,146,152
20260727,Organic Search,google,(organic),(not set),296,1.6723163841807909,2.1449275362318843,177,102,138,141
20260706,Organic Search,google,(organic),(not set),258,1.9694656488549618,2.4571428571428573,131,78,105,107
20260722,Organic Search,google,(organic),(not set),253,1.4457142857142857,1.7569444444444444,175,104,144,151
20260723,Organic Search,google,(organic),(not set),249,1.5182926829268293,1.8444444444444446,164,107,135,142
20260713,Organic Search,google,(organic),(not set),248,1.8507462686567164,2.1946902654867255,134,85,113,115
20260724,Organic Search,google,(organic),(not set),247,1.6357615894039734,2.0756302521008405,151,88,119,127
20260708,Organic Search,google,(organic),(not set),241,1.6853146853146854,2.0775862068965516,143,88,116,123
20260707,Organic Search,google,(organic),(not set),240,1.5286624203821657,1.875,157,91,128,131
20260714,Organic Search,google,(organic),(not set),227,1.5442176870748299,1.816,147,98,125,127
20260721,Organic Search,google,(organic),(not set),224,1.4545454545454546,1.7099236641221374,154,85,131,138
20260720,Direct,(direct),(direct),(not set),222,4.933333333333334,6.166666666666667,45,21,36,39
20260727,Direct,(direct),(direct),(not set),213,3.4918032786885247,4.018867924528302,61,31,53,54
20260716,Organic Search,google,(organic),(not set),212,1.4722222222222223,1.7966101694915255,144,89,118,124
20260723,Paid Search,google,PEÇAS,Grupo de anúncios 1,208,1.7777777777777777,1.980952380952381,117,45,105,109
20260715,Organic Search,google,(organic),(not set),206,1.4609929078014185,1.6612903225806452,141,98,124,127
20260709,Organic Search,google,(organic),(not set),198,1.5590551181102361,1.8857142857142857,127,71,105,108
20260730,Cross-network,(data not available),(cross-network),(not set),185,1.1935483870967742,1.2012987012987013,155,1,154,155
20260703,Organic Search,google,(organic),(not set),183,1.525,1.83,120,75,100,102
20260702,Direct,(direct),(direct),(not set),174,2.8524590163934427,3.9545454545454546,61,34,44,44
20260725,Paid Search,google,PEÇAS,Grupo de anúncios 1,174,1.392,1.4621848739495797,125,42,119,121
20260710,Organic Search,google,(organic),(not set),170,1.452991452991453,1.7171717171717171,117,78,99,108
20260702,Organic Search,google,(organic),(not set),167,1.2748091603053435,1.3916666666666666,131,73,120,120
20260721,Direct,(direct),(direct),(not set),159,2.1780821917808217,2.409090909090909,73,36,66,68
20260730,Unassigned,(not set),(not set),(not set),159,0.6437246963562753,0.7293577981651376,247,0,218,232
20260713,Direct,(direct),(direct),(not set),158,2.8727272727272726,4.051282051282051,55,32,39,43
20260718,Organic Search,google,(organic),(not set),156,1.6774193548387097,2,93,53,78,80
20260707,Direct,(direct),(direct),(not set),144,2.526315789473684,3.5121951219512195,57,36,41,42
20260702,Paid Search,google,(organic),(not set),141,2.764705882352941,3.2790697674418605,51,30,43,43
20260720,Paid Video,google,MAQUINAS,Grupo de anúncios 1,140,1.1570247933884297,1.206896551724138,121,36,116,116
20260730,Organic Search,google,(organic),(not set),135,1.1637931034482758,1.4516129032258065,116,2,93,104
