# ----------------------------------------
# E-commerce - Mercado Laser
# Exploração sem título-Formato livre 1
# 20260701-20260730
# ----------------------------------------

Origem / mídia da sessão,Campanha da sessão,Texto da palavra-chave do Google Ads atribuída a essa sessão,Adicionar aos carrinhos,Compras,Receita de compra
,,,149,48,102837.440004,Total geral
(direct) / (none),(direct),(not set),55,26,40186.230005
google / organic,(organic),(not set),72,11,18315.499997
(not set),(not set),(not set),1,2,631.409998
google / cpc,01 [V4] SEACH_MAQUINA,maquina de corte laser cnc,1,2,1536.92
l.wl.co / referral,(referral),(not set),0,2,33713.160001
easycheckout.tray.com.br / referral,(referral),(not set),5,1,1427.5
eventsmanager.facebook.com / referral,(referral),(not set),1,1,1427.500002
google / cpc,(organic),(not set),4,1,2494.22
google / cpc,PEÇAS,mercado laser,1,1,3105.000001
tagassistant.google.com / referral,(referral),(not set),1,1,0
bing / organic,(organic),(not set),1,0,0
chatgpt.com / ai-assistant,(ai-assistant),(not set),2,0,0
google / cpc,03 [V4] SEACH_PEÇAS,(not set),1,0,0
google / cpc,03 [V4] SEACH_PEÇAS,acessorios para maquina laser,1,0,0
google / cpc,PEÇAS,(not set),1,0,0
google / cpc,PEÇAS,empresa maquina laser,1,0,0
google / cpc,PEÇAS,tubo laser 100w,1,0,0

