Nome: O que as pessoas estão procurando no Google
"Período: Jun 30, 2026 – Jul 27, 2026"
Filtros: País = BR
Tema,Classificação de pesquisa,Tendência de pesquisa
Artesanatos e hobbies,74.8150724,0.02325055
Produtos de limpeza,41.62479168,-0.10697131
"Impressoras, scanners e aparelhos de fax",39.87990116,-0.02917175
Instrumentos musicais,35.00119814,-0.13309612
Lâmpadas,7.63067341,-0.05108521
Ferramentas para soldagem,5.87280474,0.05008932
Remoção de pelos a laser e eletrólise,1.06602222,-0.30800059
Guilhotinas,,0.07496635
Máquinas CNC,,-0.1818387
Máquinas de jateamento,,0.34567523
Ventiladores,,0.06405602
Motores elétricos,,-0.12625827
Conversores CA/CC,,-0.25941036
Resistores,,-0.15523329
Diodos,,-0.34973522
Acessórios para máquina de solda e corte plasma,,0.13502825
Lentes para óculos de sol,,0
Filme para embalagem,,0
Resfriadores de água,,0
