Nome: O que as pessoas estão procurando no Google
"Período: Jun 30, 2026 – Jul 27, 2026"
Filtros: País = BR
Consulta,Classificação de pesquisa,Tendência de pesquisa
panini,52.582383,0.29601843
impressora,12.11691433,0.01419498
impressora 3d,9.69151487,0.33809765
panini figurinhas faltantes,8.23008854,0.17733995
armarinho sao jose,7.37113043,-0.01007663
violão,6.07196774,0.00055688
guitarra,5.78411627,0.00893929
impressora epson,5.48051086,0.02858994
lysoform,4.98325851,-0.07003194
bambu lab a1,4.94159367,0.21518315
panini oficial,4.8960882,0.49524056
aliexpress brasil,4.82759505,0.02642878
impressora epson l3250,4.79829212,-0.0244749
epson l3250,4.7727874,-0.00456327
panini site,4.60999961,0.40096441
desinfetante,4.40224585,0.03652547
panini cromos faltantes,4.30116946,0.15966066
percarbonato de sódio,4.28161843,0.03621865
hama beads,3.92933447,0.06879058
maquina de costura,3.84909642,-0.02405149
topo de bolo,3.81220552,-0.00912689
panini figurinhas,3.66333861,0.24571242
lampada de led,3.62732103,-0.02532001
fita dupla face,3.56646212,0.02128271
mop,3.46206389,0.03263659
duster,3.03965808,0.07874446
bazar horizonte,2.83370821,-0.01349136
detergente,2.78765118,-0.02500086
maçarico,2.71720778,0.04314695
finish,2.71215297,-0.34977904
vassoura,2.69454177,-0.05064548
ukulele,2.67091921,0.0152599
impressora hp,2.61389151,-0.05064643
diabo verde,2.60063873,0.22012872
violao,2.52917861,-0.017497
oleo,2.51484793,0.03385013
mop limpeza,2.4400108,-0.03120362
percarbonato,2.39618303,0.06555255
máquina de costura,2.37139794,0.0207545
adesivo,2.3324454,-0.02618084
caneta 3d,2.32373359,0.10930358
isopor,2.31154019,0.0028298
roland,2.29947429,-0.72002793
cif,2.2802914,0.15687429
loja panini,2.22195238,0.06272253
photocard,2.19761546,0.07278141
tig,2.19164873,0.0884631
impressora 3d bambu lab,2.15629586,0.17362314
ferro de solda,2.15026488,0.05113415
tela,2.14098846,0.15745037
maquina de solda,2.12707669,0.03813688
impressora termica,2.12073742,0.06854525
bambu lab a1 combo,1.943335,0.10931099
prata,1.93811015,-0.0107604
cif cremoso,1.9322877,-0.01492903
