Nome: Performance
"Período: Jun 30, 2026 – Jul 29, 2026"
Filtros: Tráfego = Todos
Dia,Impressões,Cliques,CTR
2026-07-29,3103,13,0.00418949
2026-07-28,2551,8,0.00313603
2026-07-27,1560,5,0.00320513
2026-07-26,1086,4,0.00368324
2026-07-25,981,4,0.00407747
2026-07-24,1497,7,0.00467602
2026-07-23,1475,9,0.00610169
2026-07-22,1401,6,0.00428266
2026-07-21,1516,6,0.00395778
2026-07-20,1308,9,0.00688073
2026-07-19,951,1,0.00105152
2026-07-18,1158,5,0.00431779
2026-07-17,738,7,0.00948509
2026-07-16,803,4,0.00498132
2026-07-15,723,5,0.00691563
2026-07-14,645,5,0.00775194
2026-07-13,729,5,0.00685871
2026-07-12,467,0,
2026-07-11,25,0,
2026-07-10,,0,
2026-07-09,,0,
2026-07-08,,0,
2026-07-07,,0,
2026-07-06,,0,
2026-07-05,,0,
2026-07-04,,0,
2026-07-03,,0,
2026-07-02,,0,
2026-07-01,,0,
2026-06-30,,0,
