Nome: Performance
"Período: Jun 30, 2026 – Jul 29, 2026"
Filtros: Tráfego = Todos
Categoria (nível 1),Impressões,Cliques,CTR
Ferragens,5895,35,0.00593723
,8796,20,0.00227376
Casa e jardim,994,12,0.01207243
Artes e entretenimento,4161,10,0.00240327
Eletrônicos,1559,8,0.00513149
Saúde e beleza,296,6,0.02027027
Comercial e industrial,588,5,0.0085034
Câmeras e óptica,162,3,0.01851852
Animais e suprimentos para animais de estimação,59,2,0.03389831
Veículos e peças,176,2,0.01136364
Artigos esportivos,28,0,
Materiais de escritório,,0,
