Informações do leilão - pesquisa
1 de julho de 2026 - 6 de agosto de 2026
Dia,Domínio do URL de visualização,Parcela de impressões da pesquisa (Informações do leilão),Taxa de sobreposição da pesquisa,Taxa de posição superior,Taxa da parte superior da página,Taxa da 1ª posição na página,Parcela de superação da pesquisa
2026-07-01,Você,"30,88%", --, --,"68,14%","25,42%", --
2026-07-02,Você,"27,09%", --, --,"68,09%","27,37%", --
2026-07-03,Você,"32,13%", --, --,"68,48%","25,98%", --
2026-07-04,Você,"31,66%", --, --,"74,35%","26,70%", --
2026-07-05,Você,"36,35%", --, --,"73,53%","27,66%", --
2026-07-06,Você,"23,18%", --, --,"73,09%","27,24%", --
2026-07-07,Você,"22,86%", --, --,"72,99%","27,73%", --
2026-07-08,Você,"27,10%", --, --,"71,18%","26,39%", --
2026-07-09,Você,"28,19%", --, --,"72,70%","27,83%", --
2026-07-10,Você,"27,74%", --, --,"71,99%","22,12%", --
2026-07-11,Você,"28,97%", --, --,"70,31%","21,69%", --
2026-07-12,Você,"31,61%", --, --,"69,52%","16,79%", --
2026-07-13,Você,"28,62%", --, --,"70,09%","19,23%", --
2026-07-14,Você,"27,70%", --, --,"65,57%","17,53%", --
2026-07-15,Você,"31,05%", --, --,"71,77%","17,81%", --
2026-07-16,Você,"20,69%", --, --,"64,70%","21,79%", --
2026-07-17,Você,"18,88%", --, --,"62,89%","17,15%", --
2026-07-18,Você,"27,92%", --, --,"64,48%","17,70%", --
2026-07-19,Você,"15,98%", --, --,"64,74%","13,81%", --
2026-07-20,Você,"23,56%", --, --,"64,76%","15,38%", --
2026-07-21,Você,"23,88%", --, --,"64,96%","16,71%", --
2026-07-22,Você,"25,66%", --, --,"67,65%","15,85%", --
2026-07-23,Você,"25,91%", --, --,"65,36%","17,54%", --
2026-07-24,Você,"30,02%", --, --,"66,70%","18,00%", --
2026-07-25,Você,"31,58%", --, --,"68,04%","16,65%", --
2026-07-26,Você,"27,93%", --, --,"67,85%","18,88%", --
2026-07-27,Você,"26,65%", --, --,"65,32%","18,43%", --
2026-07-28,Você,"29,03%", --, --,"63,34%","15,33%", --
2026-07-29,Você,"28,70%", --, --,"69,66%","16,43%", --
2026-07-30,Você,"28,71%", --, --,"69,36%","17,81%", --
2026-07-31,Você,"34,82%", --, --,"69,02%","20,52%", --
2026-08-01,Você,"36,20%", --, --,"75,54%","23,86%", --
2026-08-02,Você,"37,90%", --, --,"69,41%","21,07%", --
2026-08-03,Você,"33,60%", --, --,"71,82%","22,54%", --
2026-08-04,Você,"36,68%", --, --,"70,68%","21,45%", --
2026-08-05,Você,"33,74%", --, --,"70,49%","24,22%", --
2026-08-06,Você,"35,29%", --, --,"70,29%","21,34%", --
2026-07-02,4skyair.com.br,< 10%,"1,65%","83,33%","73,03%","19,08%","26,71%"
2026-07-11,4skyair.com.br,< 10%,"2,00%","69,23%","81,67%","37,50%","28,57%"
2026-07-23,4skyair.com.br,< 10%,"3,49%","56,25%","64,23%","27,31%","25,40%"
2026-07-29,4skyair.com.br,< 10%,"5,26%","64,58%","65,78%","31,56%","27,73%"
2026-07-30,4skyair.com.br,< 10%,"3,24%","42,31%","57,33%","22,67%","28,32%"
2026-07-31,4skyair.com.br,< 10%,"4,15%","52,50%","62,75%","25,00%","34,07%"
2026-08-04,4skyair.com.br,< 10%,"3,05%","57,89%","62,83%","20,42%","36,03%"
2026-07-04,aircharter.com.br,< 10%,"3,27%","96,00%","99,19%","97,58%","30,67%"
2026-07-05,aircharter.com.br,< 10%,"3,83%","96,88%","98,47%","96,18%","35,00%"
2026-07-06,aircharter.com.br,< 10%,"6,48%","97,44%","98,46%","93,08%","21,72%"
2026-07-07,aircharter.com.br,< 10%,"2,33%","100,00%","98,55%","94,93%","22,33%"
2026-07-08,aircharter.com.br,< 10%,"3,00%","100,00%","99,24%","96,95%","26,29%"
2026-07-09,aircharter.com.br,< 10%,"2,80%","100,00%","94,67%","92,67%","27,40%"
2026-07-11,aircharter.com.br,< 10%,"2,46%","100,00%","95,93%","93,50%","28,25%"
2026-07-31,aircharter.com.br,< 10%,"2,69%","88,46%","92,41%","89,66%","33,99%"
2026-08-01,aircharter.com.br,< 10%,"3,48%","93,10%","95,28%","88,19%","35,03%"
2026-08-03,aircharter.com.br,< 10%,"3,04%","91,18%","98,28%","92,53%","32,67%"
2026-08-04,aircharter.com.br,< 10%,"4,66%","96,55%","95,45%","91,41%","35,03%"
2026-07-10,avantto.com.br,< 10%,"5,63%","58,14%","74,65%","24,65%","26,83%"
2026-07-23,avantto.com.br,< 10%,"5,88%","55,56%","57,96%","12,24%","25,06%"
2026-07-24,avantto.com.br,< 10%,"4,96%","63,04%","62,22%","23,89%","29,08%"
2026-07-26,avantto.com.br,< 10%,"5,49%","70,83%","61,70%","20,21%","26,85%"
2026-07-27,avantto.com.br,< 10%,"4,24%","70,73%","60,10%","20,73%","25,85%"
2026-07-28,avantto.com.br,< 10%,"5,25%","45,16%","52,89%","16,94%","28,34%"
2026-08-01,avantto.com.br,< 10%,"6,47%","40,74%","49,22%","7,81%","35,24%"
2026-08-02,avantto.com.br,< 10%,"5,27%","43,86%","58,64%","16,05%","37,02%"
2026-07-01,brasilvida.com.br,"14,04%","20,05%","79,17%","85,83%","44,09%","25,98%"
2026-07-02,brasilvida.com.br,"15,42%","21,05%","74,51%","84,06%","40,34%","22,84%"
2026-07-03,brasilvida.com.br,"13,49%","18,48%","80,56%","85,82%","44,01%","27,35%"
2026-07-04,brasilvida.com.br,"17,99%","23,30%","80,90%","86,41%","41,47%","25,69%"
2026-07-05,brasilvida.com.br,"14,54%","18,80%","66,24%","81,44%","36,53%","31,82%"
