Dia,"Nome da campanha","Nome do conjunto de anúncios","Nome do anúncio","Status de veiculação","Nível de veiculação","Configuração de atribuição","Tipo de resultado",Resultados,Alcance,Frequência,"Custo por resultado","Valor usado (BRL)","Classificação de qualidade","Classificação da taxa de engajamento","Classificação da taxa de conversão",Impressões,"CPM (custo por 1.000 impressões)","Cliques no link","CPC (custo por clique no link)","CTR (taxa de cliques no link)","Cliques (todos)","CTR (todos)","CPC (todos)","Visualizações da página de destino do site","Início dos relatórios","Encerramento dos relatórios"
2026-01-01,"v4 | Tráfego | Acessos ao perfil","00 | Semelhante (BR, 1%) - Todos envolvidos IG | 30D","ad4 | Seu embarque vip começa aqui",not_delivering,ad,"Clique de 1 dia","Visitas ao perfil do Instagram",16,2044,1.08023483,0.15625,2.5,–,–,–,2208,1.13224638,18,0.13888889,0.81521739,18,0.81521739,0.13888889,,2026-01-01,2026-01-01
2026-01-01,"v4 | Tráfego | Acessos ao perfil","00 | Semelhante (BR, 1%) - Todos envolvidos IG | 30D","ad5 | Do Brasil Ao Chile",inactive,ad,"Clique de 1 dia","Visitas ao perfil do Instagram",239,16217,1.10008016,0.15376569,36.75,–,–,–,17840,2.05997758,252,0.14583333,1.41255605,242,1.35650224,0.1518595,,2026-01-01,2026-01-01
2026-01-02,"v4 | Tráfego | Acessos ao perfil","00 | Semelhante (BR, 1%) - Todos envolvidos IG | 30D","ad4 | Seu embarque vip começa aqui",not_delivering,ad,"Clique de 1 dia","Visitas ao perfil do Instagram",2,512,1.02929688,0.29,0.58,–,–,–,527,1.10056926,2,0.29,0.37950664,2,0.37950664,0.29,,2026-01-02,2026-01-02
2026-01-02,"v4 | Tráfego | Acessos ao perfil","00 | Semelhante (BR, 1%) - Todos envolvidos IG | 30D","ad5 | Do Brasil Ao Chile",inactive,ad,"Clique de 1 dia","Visitas ao perfil do Instagram",216,17802,1.0950455,0.1812963,39.16,–,–,–,19494,2.00882323,225,0.17404444,1.15420129,222,1.13881194,0.1763964,,2026-01-02,2026-01-02
2026-01-03,"v4 | Tráfego | Acessos ao perfil","00 | Semelhante (BR, 1%) - Todos envolvidos IG | 30D","ad4 | Seu embarque vip começa aqui",not_delivering,ad,"Clique de 1 dia",,,77,1.01298701,,0.09,–,–,–,78,1.15384615,,,,0,0,,,2026-01-03,2026-01-03
2026-01-03,"v4 | Tráfego | Acessos ao perfil","00 | Semelhante (BR, 1%) - Todos envolvidos IG | 30D","ad5 | Do Brasil Ao Chile",inactive,ad,"Clique de 1 dia","Visitas ao perfil do Instagram",236,16599,1.12042894,0.16872881,39.82,–,–,–,18598,2.14109044,245,0.16253061,1.31734595,238,1.2797075,0.16731092,,2026-01-03,2026-01-03
2026-01-04,"v4 | Tráfego | Acessos ao perfil","00 | Semelhante (BR, 1%) - Todos envolvidos IG | 30D","ad4 | Seu embarque vip começa aqui",not_delivering,ad,"Clique de 1 dia",,,224,1.03571429,,0.35,–,–,–,232,1.50862069,,,,0,0,,,2026-01-04,2026-01-04
2026-01-04,"v4 | Tráfego | Acessos ao perfil","00 | Semelhante (BR, 1%) - Todos envolvidos IG | 30D","ad5 | Do Brasil Ao Chile",inactive,ad,"Clique de 1 dia","Visitas ao perfil do Instagram",250,18676,1.07523024,0.1684,42.1,–,–,–,20081,2.09650914,264,0.1594697,1.31467556,254,1.26487725,0.16574803,,2026-01-04,2026-01-04
2026-01-05,"v4 | Tráfego | Acessos ao perfil","00 | Semelhante (BR, 1%) - Todos envolvidos IG | 30D","ad4 | Seu embarque vip começa aqui",not_delivering,ad,"Clique de 1 dia",,,51,1.03921569,,0.06,–,–,–,53,1.13207547,,,,0,0,,,2026-01-05,2026-01-05
2026-01-05,"v4 | Tráfego | Acessos ao perfil","00 | Semelhante (BR, 1%) - Todos envolvidos IG | 30D","ad5 | Do Brasil Ao Chile",inactive,ad,"Clique de 1 dia","Visitas ao perfil do Instagram",215,15984,1.06894394,0.18218605,39.17,–,–,–,17086,2.29252019,223,0.17565022,1.30516212,217,1.27004565,0.18050691,,2026-01-05,2026-01-05
