Palavra-chave de pesquisa
1 de junho de 2026 - 6 de agosto de 2026
Pesquisar palavra-chave,Status da palavra-chave da rede de pesquisa,Motivos do status da palavra-chave da rede de pesquisa,Pesquisar tipo de correspondência de palavra-chave,Campanha,Grupo de anúncios,Código da moeda,CPC máx. da palavra-chave,Índice de qualidade,Detalhes da qualidade do anúncio (nível da campanha),Detalhes da qualidade do anúncio (nível do grupo de anúncios),CTR esper.,Relevância do anúncio,Exp. na página de destino,Cliques,Impr.,CTR,CPC méd.,Custo,% de impr. (1ª posição),% de impr. (parte sup.),Conversões,Conv. de visualização,Custo / conv.,Taxa de conv.,CPM médio
taxi aereo,Qualificado, --,Correspondência ampla,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,BRL,"0,01",7,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 1
Boa: 0
Excelente: 0", --,Acima da média,Acima da média,Abaixo da média,1.515,15.932,"9,51%","1,89","2869,81","26,22%","66,35%","33,50",0,"85,67","2,21%","180,13"
taxi aereo,Qualificado, --,Correspondência ampla,v4 | search_institucional | BR,brand,BRL,"0,01",7,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Acima da média,Acima da média,Abaixo da média,1.468,22.604,"6,49%","1,44","2120,75","11,53%","66,52%","21,00",0,"100,99","1,43%","93,82"
aeromedico,Qualificado, --,Correspondência ampla,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",3,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Abaixo da média,Acima da média,Abaixo da média,1.074,6.432,"16,70%","2,23","2393,24","30,08%","77,74%","2,00",0,"1196,62","0,19%","372,08"
transporte aeromedico,Qualificado, --,Correspondência ampla,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",4,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Na média,Na média,Abaixo da média,1.007,2.330,"43,22%","1,64","1650,03","25,50%","79,19%","3,00",0,"550,01","0,30%","708,17"
táxi aéreo helicóptero,Qualificado, --,Correspondência ampla,v4 | search_institucional | BR,brand,BRL,"0,01",7,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Acima da média,Acima da média,Abaixo da média,813,13.969,"5,82%","0,77","625,38","17,22%","63,76%","11,00",0,"56,85","1,35%","44,77"
transporte de enfermos,Qualificado, --,Correspondência ampla,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,653,4.780,"13,66%","2,65","1727,50","26,21%","76,23%","1,00",0,"1727,50","0,15%","361,40"
voo particular,Qualificado, --,Correspondência ampla,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,BRL,"0,01",5,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 1
Boa: 0
Excelente: 0", --,Acima da média,Abaixo da média,Abaixo da média,295,4.729,"6,24%","1,95","574,66","27,32%","65,55%","9,00",0,"63,85","3,05%","121,52"
lider taxi aereo,Qualificado, --,Correspondência ampla,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",5,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Na média,Acima da média,Abaixo da média,277,2.471,"11,21%","3,67","1016,97","49,59%","75,20%","3,00",0,"338,99","1,08%","411,56"
transporte aeromedico,Limitado,baixa qualidade,Correspondência ampla,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,BRL,"0,01",2,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Na média,Abaixo da média,207,855,"24,21%","1,75","362,22","16,67%","79,17%","1,00",0,"362,22","0,48%","423,65"
taxi aereo,Qualificado, --,Correspondência ampla,v4 |✈️| search_taxiaereo | SP,taxiaereo,BRL,"0,01",7,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Acima da média,Acima da média,Abaixo da média,202,2.808,"7,19%","3,17","639,94","4,55%","64,34%","10,00",0,"63,99","4,95%","227,90"
