Relatórios do histórico de alterações
1 de junho de 2026 - 5 de agosto de 2026
Data e hora,Usuário,Campanha,Grupo de anúncios,Alterações
"4 de ago. de 2026, 11:58:25",felipe.chernev@v4company.com,v4 |✈️| search_taxiaereo | SP,,"1 valor de orçamento aumentou
  v4 |✈️| search_taxiaereo | SP: Valor do orçamento mudou de R$ 20,00 para R$ 25,00"
"4 de ago. de 2026, 11:58:20",felipe.chernev@v4company.com,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",,"1 valor de orçamento diminuiu
  v4 |✈️| search_taxiaereo_outros | SC, RS e PR: Valor do orçamento mudou de R$ 65,00 para R$ 60,00"
"4 de ago. de 2026, 11:52:47",felipe.chernev@v4company.com,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,"1 palavra-chave de correspondência ampla adicionado(a)
  transporte médico aéreo"
"4 de ago. de 2026, 11:52:32",felipe.chernev@v4company.com,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,"4 palavras-chave de correspondência exata negativo adicionado(a)
  -[locação de ambulância]
  -[ambulancia particular]
  -[ambulância uti valor]
  -[transporte ambulância particular]"
"4 de ago. de 2026, 11:12:38",felipe.chernev@v4company.com,v4 |🧑‍⚕️| search_aeromedico_s | SP,,"1 valor de orçamento aumentou
  v4 |🧑‍⚕️| search_aeromedico_s | SP: Valor do orçamento mudou de R$ 50,00 para R$ 60,00"
"4 de ago. de 2026, 11:12:33",felipe.chernev@v4company.com,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",,"1 valor de orçamento aumentou
  v4 |✈️| search_taxiaereo_outros | SC, RS e PR: Valor do orçamento mudou de R$ 60,00 para R$ 65,00"
"4 de ago. de 2026, 11:12:11",felipe.chernev@v4company.com,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",,"1 valor de orçamento aumentou
  v4 |✈️| search_taxiaereo_outros | SC, RS e PR: Valor do orçamento mudou de R$ 50,00 para R$ 60,00"
"4 de ago. de 2026, 11:11:55",felipe.chernev@v4company.com,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",,"1 valor de orçamento aumentou
  v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP: Valor do orçamento mudou de R$ 190,00 para R$ 230,00"
"29 de jul. de 2026, 14:49:02",felipe.chernev@v4company.com,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,"1 palavra-chave de correspondência ampla adicionado(a)
  aeromédico unimed"
"29 de jul. de 2026, 14:48:39",felipe.chernev@v4company.com,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,"1 palavra-chave de correspondência exata negativo adicionado(a)
  -[🚑 ambulance]"
"29 de jul. de 2026, 14:48:20",felipe.chernev@v4company.com,v4 | search_institucional | BR,brand,"3 palavras-chave de correspondência exata negativo adicionado(a)
  -[helicoptero]
  -[helicópteros]
  -[helicopter]"
"29 de jul. de 2026, 14:47:53",felipe.chernev@v4company.com,v4 | search_institucional | BR,brand,"1 palavra-chave de correspondência exata negativo adicionado(a)
  -[helicóptero]"
"29 de jul. de 2026, 14:46:43",felipe.chernev@v4company.com,v4 |✈️| search_taxiaereo | SP,,"1 valor de orçamento aumentou
  v4 |✈️| search_taxiaereo | SP: Valor do orçamento mudou de R$ 10,00 para R$ 20,00"
"29 de jul. de 2026, 14:43:28",felipe.chernev@v4company.com,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",,"Campanha mudou
  Campanha tipo de estratégia de lances mudou de ""Maximizar cliques"" para ""Maximizar conversões"""
"27 de jul. de 2026, 09:40:09",felipe.chernev@v4company.com,v4 |🧑‍⚕️| search_aeromedico_s | SP,,"1 valor de orçamento aumentou
  v4 |🧑‍⚕️| search_aeromedico_s | SP: Valor do orçamento mudou de R$ 35,00 para R$ 50,00"
"27 de jul. de 2026, 09:40:00",felipe.chernev@v4company.com,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,,"1 valor de orçamento aumentou
  v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados: Valor do orçamento mudou de R$ 40,00 para R$ 50,00"
"27 de jul. de 2026, 09:39:51",felipe.chernev@v4company.com,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",,"1 valor de orçamento aumentou
  v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP: Valor do orçamento mudou de R$ 150,00 para R$ 190,00"
"21 de jul. de 2026, 16:53:53",felipe.chernev@v4company.com,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,"1 palavra-chave de correspondência exata adicionado(a)
  [UTI Aerea]
1 palavra-chave de correspondência ampla adicionado(a)
  Cotação UTI Aérea
1 palavra-chave de correspondência de frase adicionado(a)
  ""remocao uti aerea"""
"21 de jul. de 2026, 16:52:59",felipe.chernev@v4company.com,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,"1 palavra-chave de correspondência de frase adicionado(a)
  ""remocao uti aerea""
1 palavra-chave de correspondência exata foi removido
  [remocao uti aerea]"
