STD Report
1 de fevereiro de 2026 - 21 de julho de 2026
Dia,Campanha,Grupo de anúncios,Impr.,Cliques,CTR,Código da moeda,Custo,Conversões
2026-02-01,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,341,25,"7,33%",BRL,"264,54","1,00"
2026-02-01,v4 |✈️| search_taxiaereo | SP,taxiaereo,352,30,"8,52%",BRL,"54,91","0,00"
2026-02-01,v4 | search_institucional | BR,brand,175,15,"8,57%",BRL,"12,94","0,00"
2026-02-01,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,157,13,"8,28%",BRL,"23,94","2,00"
2026-02-01,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,26,5,"19,23%",BRL,"27,56","0,00"
2026-02-01,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,60,4,"6,67%",BRL,"60,25","0,00"
2026-02-02,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,487,27,"5,54%",BRL,"317,99","4,00"
2026-02-02,v4 |✈️| search_taxiaereo | SP,taxiaereo,315,25,"7,94%",BRL,"52,72","1,00"
2026-02-02,v4 | search_institucional | BR,brand,232,25,"10,78%",BRL,"33,14","0,00"
2026-02-02,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,119,10,"8,40%",BRL,"14,41","2,00"
2026-02-02,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,166,4,"2,41%",BRL,"20,43","0,00"
2026-02-02,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,20,4,"20,00%",BRL,"50,57","0,00"
2026-02-03,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,417,30,"7,19%",BRL,"360,75","4,00"
2026-02-03,v4 |✈️| search_taxiaereo | SP,taxiaereo,355,26,"7,32%",BRL,"77,29","2,00"
2026-02-03,v4 | search_institucional | BR,brand,198,23,"11,62%",BRL,"24,26","5,00"
2026-02-03,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,126,23,"18,25%",BRL,"32,96","0,00"
2026-02-03,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,123,8,"6,50%",BRL,"56,53","1,00"
2026-02-03,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,44,7,"15,91%",BRL,"56,09","0,00"
2026-02-04,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,404,27,"6,68%",BRL,"298,62","2,00"
2026-02-04,v4 |✈️| search_taxiaereo | SP,taxiaereo,220,11,"5,00%",BRL,"46,93","1,00"
2026-02-04,v4 | search_institucional | BR,brand,99,15,"15,15%",BRL,"12,05","2,00"
2026-02-04,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,38,8,"21,05%",BRL,"9,10","0,00"
2026-02-04,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,111,7,"6,31%",BRL,"28,51","1,00"
2026-02-04,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,41,2,"4,88%",BRL,"38,37","0,00"
2026-02-05,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,390,26,"6,67%",BRL,"321,82","1,00"
2026-02-05,v4 |✈️| search_taxiaereo | SP,taxiaereo,49,7,"14,29%",BRL,"45,44","1,00"
2026-02-05,v4 | search_institucional | BR,brand,83,5,"6,02%",BRL,"3,88","1,00"
2026-02-05,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,38,5,"13,16%",BRL,"6,83","0,00"
2026-02-05,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,132,6,"4,55%",BRL,"30,55","3,00"
2026-02-05,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,45,1,"2,22%",BRL,"16,25","0,00"
2026-02-06,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,282,25,"8,87%",BRL,"313,71","4,00"
2026-02-06,v4 |✈️| search_taxiaereo | SP,taxiaereo,63,7,"11,11%",BRL,"23,28","1,00"
2026-02-06,v4 | search_institucional | BR,brand,108,9,"8,33%",BRL,"10,69","1,00"
2026-02-06,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,55,7,"12,73%",BRL,"10,81","3,00"
2026-02-06,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,223,26,"11,66%",BRL,"22,48","0,00"
2026-02-06,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,12,1,"8,33%",BRL,"48,17","0,00"
2026-02-07,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,221,21,"9,50%",BRL,"220,37","4,00"
2026-02-07,v4 |✈️| search_taxiaereo | SP,taxiaereo,121,8,"6,61%",BRL,"27,66","0,00"
2026-02-07,v4 | search_institucional | BR,brand,113,9,"7,96%",BRL,"7,37","2,00"
2026-02-07,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,80,14,"17,50%",BRL,"17,79","4,00"
2026-02-07,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,87,7,"8,05%",BRL,"41,65","0,00"
2026-02-07,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,13,2,"15,38%",BRL,"48,58","1,00"
2026-02-08,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,252,18,"7,14%",BRL,"187,87","2,00"
2026-02-08,v4 |✈️| search_taxiaereo | SP,taxiaereo,171,11,"6,43%",BRL,"36,24","2,00"
2026-02-08,v4 | search_institucional | BR,brand,103,11,"10,68%",BRL,"12,20","1,00"
2026-02-08,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,53,7,"13,21%",BRL,"9,00","1,00"
2026-02-08,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,75,4,"5,33%",BRL,"27,68","1,00"
2026-02-08,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,13,1,"7,69%",BRL,"27,48","0,00"
2026-02-09,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,362,25,"6,91%",BRL,"385,32","4,00"
2026-02-09,v4 |✈️| search_taxiaereo | SP,taxiaereo,151,10,"6,62%",BRL,"50,33","2,00"
2026-02-09,v4 | search_institucional | BR,brand,117,8,"6,84%",BRL,"9,15","0,00"
2026-02-09,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,92,9,"9,78%",BRL,"16,11","1,00"
2026-02-09,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,122,4,"3,28%",BRL,"24,57","0,50"
2026-02-09,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,49,3,"6,12%",BRL,"23,59","0,00"
2026-02-10,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,345,23,"6,67%",BRL,"320,35","3,00"
2026-02-10,v4 |✈️| search_taxiaereo | SP,taxiaereo,91,9,"9,89%",BRL,"51,72","2,00"
2026-02-10,v4 | search_institucional | BR,brand,156,12,"7,69%",BRL,"18,91","1,00"
2026-02-10,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,81,9,"11,11%",BRL,"19,75","2,00"
2026-02-10,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,73,2,"2,74%",BRL,"18,98","0,50"
2026-02-10,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,27,1,"3,70%",BRL,"11,76","0,00"
2026-02-11,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,391,30,"7,67%",BRL,"408,41","1,00"
2026-02-11,v4 |✈️| search_taxiaereo | SP,taxiaereo,43,4,"9,30%",BRL,"34,20","1,00"
2026-02-11,v4 | search_institucional | BR,brand,158,17,"10,76%",BRL,"32,17","2,00"
2026-02-11,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,101,17,"16,83%",BRL,"40,20","3,00"
2026-02-11,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,121,5,"4,13%",BRL,"28,47","0,00"
2026-02-11,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,2,1,"50,00%",BRL,"26,10","0,00"
2026-02-12,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,318,20,"6,29%",BRL,"165,40","1,00"
2026-02-12,v4 |✈️| search_taxiaereo | SP,taxiaereo,143,8,"5,59%",BRL,"34,26","1,00"
2026-02-12,v4 | search_institucional | BR,brand,181,26,"14,36%",BRL,"52,27","1,00"
2026-02-12,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,103,16,"15,53%",BRL,"37,17","6,00"
2026-02-12,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,44,4,"9,09%",BRL,"27,05","0,00"
2026-02-12,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,42,3,"7,14%",BRL,"16,09","0,00"
2026-02-13,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,431,41,"9,51%",BRL,"440,25","7,00"
2026-02-13,v4 |✈️| search_taxiaereo | SP,taxiaereo,92,10,"10,87%",BRL,"31,74","2,00"
2026-02-13,v4 | search_institucional | BR,brand,263,27,"10,27%",BRL,"45,47","2,00"
2026-02-13,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,128,13,"10,16%",BRL,"27,37","5,00"
2026-02-13,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,106,4,"3,77%",BRL,"26,84","1,00"
2026-02-13,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,28,3,"10,71%",BRL,"49,53","0,00"
2026-02-14,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,340,26,"7,65%",BRL,"278,61","2,00"
2026-02-14,v4 |✈️| search_taxiaereo | SP,taxiaereo,111,11,"9,91%",BRL,"33,86","1,00"
2026-02-14,v4 | search_institucional | BR,brand,209,35,"16,75%",BRL,"56,93","3,00"
2026-02-14,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,105,15,"14,29%",BRL,"25,79","0,00"
2026-02-14,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,90,0,"0,00%",BRL,"0,00","0,00"
2026-02-14,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,7,3,"42,86%",BRL,"33,36","0,00"
2026-02-15,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,180,22,"12,22%",BRL,"400,69","2,00"
2026-02-15,v4 |✈️| search_taxiaereo | SP,taxiaereo,191,15,"7,85%",BRL,"38,16","1,00"
2026-02-15,v4 | search_institucional | BR,brand,226,17,"7,52%",BRL,"25,41","4,00"
2026-02-15,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,156,25,"16,03%",BRL,"38,38","1,00"
2026-02-15,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,67,8,"11,94%",BRL,"49,66","0,00"
2026-02-15,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,10,1,"10,00%",BRL,"37,60","0,00"
2026-02-16,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,197,25,"12,69%",BRL,"272,38","2,00"
2026-02-16,v4 |✈️| search_taxiaereo | SP,taxiaereo,205,11,"5,37%",BRL,"21,07","1,00"
2026-02-16,v4 | search_institucional | BR,brand,231,33,"14,29%",BRL,"59,94","1,00"
2026-02-16,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,124,18,"14,52%",BRL,"48,30","1,00"
2026-02-16,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,139,6,"4,32%",BRL,"23,15","0,00"
2026-02-16,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,20,4,"20,00%",BRL,"39,98","0,00"
2026-02-17,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,169,27,"15,98%",BRL,"276,84","3,00"
2026-02-17,v4 |✈️| search_taxiaereo | SP,taxiaereo,129,14,"10,85%",BRL,"31,92","4,00"
2026-02-17,v4 | search_institucional | BR,brand,271,40,"14,76%",BRL,"59,82","2,00"
2026-02-17,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,185,19,"10,27%",BRL,"36,82","2,00"
2026-02-17,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,75,5,"6,67%",BRL,"33,37","0,00"
2026-02-17,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,42,5,"11,90%",BRL,"32,76","0,00"
2026-02-18,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,305,24,"7,87%",BRL,"369,93","2,00"
2026-02-18,v4 |✈️| search_taxiaereo | SP,taxiaereo,141,12,"8,51%",BRL,"33,21","4,00"
2026-02-18,v4 | search_institucional | BR,brand,261,25,"9,58%",BRL,"40,83","0,00"
2026-02-18,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,129,15,"11,63%",BRL,"29,80","1,00"
2026-02-18,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,149,5,"3,36%",BRL,"15,16","1,00"
2026-02-18,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,32,5,"15,63%",BRL,"39,51","2,00"
2026-02-19,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,422,35,"8,29%",BRL,"518,53","4,00"
2026-02-19,v4 |✈️| search_taxiaereo | SP,taxiaereo,133,10,"7,52%",BRL,"19,36","0,00"
2026-02-19,v4 | search_institucional | BR,brand,157,23,"14,65%",BRL,"40,92","4,00"
2026-02-19,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,106,12,"11,32%",BRL,"15,41","1,00"
2026-02-19,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,74,6,"8,11%",BRL,"42,36","0,00"
2026-02-19,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,52,4,"7,69%",BRL,"32,49","1,00"
2026-02-20,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,419,39,"9,31%",BRL,"545,21","5,00"
2026-02-20,v4 |✈️| search_taxiaereo | SP,taxiaereo,104,7,"6,73%",BRL,"14,71","1,00"
2026-02-20,v4 | search_institucional | BR,brand,132,17,"12,88%",BRL,"27,66","0,00"
