STD Report
1 de junho de 2026 - 2 de agosto de 2026
Dia,Campanha,Grupo de anúncios,Impr.,Cliques,CTR,Código da moeda,Custo,Conversões
2026-06-01,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,466,37,"7,94%",BRL,"107,96","1,00"
2026-06-01,v4 |✈️| search_taxiaereo | SP,taxiaereo,39,5,"12,82%",BRL,"10,99","0,00"
2026-06-01,v4 | search_institucional | BR,brand,242,28,"11,57%",BRL,"65,01","0,00"
2026-06-01,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,618,25,"4,05%",BRL,"27,26","0,00"
2026-06-01,v4 |🧑‍⚕️| aeromedico | América S,america_sul | Nova versão,2,0,"0,00%",BRL,"0,00","0,00"
2026-06-01,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,48,5,"10,42%",BRL,"20,70","0,00"
2026-06-01,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,81,3,"3,70%",BRL,"32,85","0,00"
2026-06-02,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,487,40,"8,21%",BRL,"81,21","0,00"
2026-06-02,v4 |✈️| search_taxiaereo | SP,taxiaereo,38,3,"7,89%",BRL,"9,99","0,00"
2026-06-02,v4 | search_institucional | BR,brand,309,22,"7,12%",BRL,"60,07","0,00"
2026-06-02,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,421,45,"10,69%",BRL,"71,12","1,00"
2026-06-02,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,51,5,"9,80%",BRL,"20,02","0,00"
2026-06-02,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,41,2,"4,88%",BRL,"33,98","0,00"
2026-06-03,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,469,41,"8,74%",BRL,"116,00","1,00"
2026-06-03,v4 |✈️| search_taxiaereo | SP,taxiaereo,23,4,"17,39%",BRL,"16,65","0,00"
2026-06-03,v4 | search_institucional | BR,brand,274,27,"9,85%",BRL,"61,07","1,00"
2026-06-03,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,290,34,"11,72%",BRL,"51,61","0,00"
2026-06-03,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,88,7,"7,95%",BRL,"20,98","0,00"
2026-06-03,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,37,3,"8,11%",BRL,"31,72","0,00"
2026-06-04,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,286,34,"11,89%",BRL,"124,01","0,00"
2026-06-04,v4 |✈️| search_taxiaereo | SP,taxiaereo,75,4,"5,33%",BRL,"9,60","0,00"
2026-06-04,v4 | search_institucional | BR,brand,337,30,"8,90%",BRL,"63,08","0,00"
2026-06-04,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,505,42,"8,32%",BRL,"55,80","0,00"
2026-06-04,v4 |🧑‍⚕️| aeromedico | América S,america_sul | Nova versão,2,0,"0,00%",BRL,"0,00","0,00"
2026-06-04,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,84,6,"7,14%",BRL,"37,59","0,00"
2026-06-04,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,24,4,"16,67%",BRL,"36,01","0,00"
2026-06-05,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,303,30,"9,90%",BRL,"116,51","0,00"
2026-06-05,v4 |✈️| search_taxiaereo | SP,taxiaereo,44,3,"6,82%",BRL,"9,61","1,00"
2026-06-05,v4 | search_institucional | BR,brand,370,43,"11,62%",BRL,"52,86","1,00"
2026-06-05,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,421,42,"9,98%",BRL,"52,80","2,00"
2026-06-05,v4 |🧑‍⚕️| aeromedico | América S,america_sul | Nova versão,1,0,"0,00%",BRL,"0,00","0,00"
2026-06-05,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,4,2,"50,00%",BRL,"18,18","0,00"
2026-06-05,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,1,1,"100,00%",BRL,"34,36","0,00"
2026-06-06,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,119,20,"16,81%",BRL,"74,94","0,00"
2026-06-06,v4 |✈️| search_taxiaereo | SP,taxiaereo,81,5,"6,17%",BRL,"9,35","0,00"
2026-06-06,v4 | search_institucional | BR,brand,382,36,"9,42%",BRL,"50,54","2,00"
2026-06-06,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,501,39,"7,78%",BRL,"50,58","1,00"
2026-06-06,v4 |🧑‍⚕️| aeromedico | América S,america_sul | Nova versão,1,0,"0,00%",BRL,"0,00","0,00"
2026-06-06,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,32,4,"12,50%",BRL,"24,56","0,00"
2026-06-06,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,61,2,"3,28%",BRL,"4,74","0,00"
2026-06-07,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,324,48,"14,81%",BRL,"123,99","1,00"
2026-06-07,v4 |✈️| search_taxiaereo | SP,taxiaereo,51,5,"9,80%",BRL,"10,72","0,00"
2026-06-07,v4 | search_institucional | BR,brand,379,47,"12,40%",BRL,"75,34","2,00"
2026-06-07,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,399,41,"10,28%",BRL,"51,64","2,00"
2026-06-07,v4 |🧑‍⚕️| aeromedico | América S,america_sul | Nova versão,1,0,"0,00%",BRL,"0,00","0,00"
2026-06-07,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,65,8,"12,31%",BRL,"16,74","0,00"
2026-06-07,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,60,3,"5,00%",BRL,"13,96","0,00"
2026-06-08,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,370,38,"10,27%",BRL,"91,49","0,00"
2026-06-08,v4 |✈️| search_taxiaereo | SP,taxiaereo,89,3,"3,37%",BRL,"12,23","1,00"
2026-06-08,v4 | search_institucional | BR,brand,314,37,"11,78%",BRL,"83,64","1,00"
2026-06-08,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,292,34,"11,64%",BRL,"39,18","0,00"
2026-06-08,v4 |🧑‍⚕️| aeromedico | América S,america_sul | Nova versão,1,0,"0,00%",BRL,"0,00","0,00"
2026-06-08,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,46,4,"8,70%",BRL,"23,68","0,00"
2026-06-08,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,48,4,"8,33%",BRL,"82,15","0,00"
2026-06-09,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,272,30,"11,03%",BRL,"82,14","0,00"
2026-06-09,v4 |✈️| search_taxiaereo | SP,taxiaereo,20,1,"5,00%",BRL,"11,84","0,00"
2026-06-09,v4 | search_institucional | BR,brand,191,22,"11,52%",BRL,"67,68","0,00"
2026-06-09,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,760,45,"5,92%",BRL,"58,73","1,00"
2026-06-09,v4 |🧑‍⚕️| aeromedico | América S,america_sul | Nova versão,3,0,"0,00%",BRL,"0,00","0,00"
2026-06-09,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,119,4,"3,36%",BRL,"19,25","0,00"
2026-06-09,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,6,2,"33,33%",BRL,"21,68","0,00"
2026-06-10,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,344,33,"9,59%",BRL,"85,68","0,00"
2026-06-10,v4 |✈️| search_taxiaereo | SP,taxiaereo,20,2,"10,00%",BRL,"10,56","0,00"
2026-06-10,v4 | search_institucional | BR,brand,109,21,"19,27%",BRL,"53,48","1,00"
2026-06-10,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,357,30,"8,40%",BRL,"37,80","0,00"
2026-06-10,v4 |🧑‍⚕️| aeromedico | América S,america_sul | Nova versão,2,0,"0,00%",BRL,"0,00","0,00"
2026-06-10,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,99,5,"5,05%",BRL,"17,74","0,00"
2026-06-10,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,31,1,"3,23%",BRL,"19,42","0,00"
2026-06-11,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,286,73,"25,52%",BRL,"127,41","1,00"
2026-06-11,v4 |✈️| search_taxiaereo | SP,taxiaereo,6,1,"16,67%",BRL,"11,35","0,00"
2026-06-11,v4 | search_institucional | BR,brand,206,33,"16,02%",BRL,"88,09","0,00"
2026-06-11,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,201,12,"5,97%",BRL,"19,37","0,00"
2026-06-11,v4 |🧑‍⚕️| aeromedico | América S,america_sul | Nova versão,5,2,"40,00%",BRL,"3,37","0,00"
2026-06-11,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,13,4,"30,77%",BRL,"10,99","0,00"
2026-06-11,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,15,4,"26,67%",BRL,"13,99","0,00"
2026-06-12,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,301,21,"6,98%",BRL,"46,51","0,00"
2026-06-12,v4 |✈️| search_taxiaereo | SP,taxiaereo,64,5,"7,81%",BRL,"10,68","0,00"
2026-06-12,v4 | search_institucional | BR,brand,239,38,"15,90%",BRL,"83,05","1,00"
2026-06-12,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,58,7,"12,07%",BRL,"9,42","0,00"
2026-06-12,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,3,3,"100,00%",BRL,"10,37","0,00"
