STD Report
1 de julho de 2026 - 5 de agosto de 2026
Dia,Campanha,Grupo de anúncios,Impr.,Cliques,CTR,Código da moeda,Custo,Conversões
2026-07-01,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,419,67,"15,99%",BRL,"141,53","0,00"
2026-07-01,v4 |✈️| search_taxiaereo | SP,taxiaereo,57,4,"7,02%",BRL,"12,12","0,00"
2026-07-01,v4 | search_institucional | BR,brand,311,27,"8,68%",BRL,"90,87","0,00"
2026-07-01,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,421,35,"8,31%",BRL,"76,27","1,00"
2026-07-01,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,41,3,"7,32%",BRL,"31,27","0,00"
2026-07-01,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,7,1,"14,29%",BRL,"11,71","0,00"
2026-07-02,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,392,78,"19,90%",BRL,"125,75","1,00"
2026-07-02,v4 |✈️| search_taxiaereo | SP,taxiaereo,19,2,"10,53%",BRL,"11,04","0,00"
2026-07-02,v4 | search_institucional | BR,brand,227,27,"11,89%",BRL,"86,40","1,00"
2026-07-02,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,376,34,"9,04%",BRL,"108,48","0,00"
2026-07-02,v4 |🧑‍⚕️| search_aeromedico_s | Demais Estados,aeromedico,75,15,"20,00%",BRL,"30,99","0,00"
2026-07-02,v4 |🧑‍⚕️| search_aeromedico_s | SP,aeromedico,28,2,"7,14%",BRL,"11,99","0,00"
2026-07-03,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,434,31,"7,14%",BRL,"68,99","0,00"
2026-07-03,v4 |✈️| search_taxiaereo | SP,taxiaereo,53,3,"5,66%",BRL,"7,27","0,00"
2026-07-03,v4 | search_institucional | BR,brand,369,21,"5,69%",BRL,"50,09","2,00"
2026-07-03,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,358,29,"8,10%",BRL,"92,72","0,00"
